vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,fork_r_1_LENGTH,cylinder_1_LENGTH,fork_l_2_LENGTH,fork_r_2_LENGTH,tbar_cross_2_LENGTH,post_r_1_LENGTH,tbar_post_1_LENGTH,tbar_post_3_LENGTH,tbar_post_2_LENGTH,post_r_2_LENGTH,cylinder_0_LENGTH,fork_l_1_LENGTH,post_l_1_LENGTH,post_l_2_LENGTH,tbar_cross_1_LENGTH,tbar_cross_3_LENGTH,t_post_mp_top_prop_DIAMETER,t_post_mp_bottom_prop_DIAMETER,tail_tbar_cross_mp_prop_DIAMETER,fork_post_mp_1_prop_DIAMETER,t_cross_mp_bottom_prop_DIAMETER,tail_tbar_post_mp_prop_DIAMETER,fork_post_mp_2_prop_DIAMETER,fork_post_mp_3_prop_DIAMETER,t_cross_mp_top_prop_DIAMETER,fork_post_mp_4_prop_DIAMETER,right_wing_CHORD_1,right_wing_CHORD_2,right_wing_SPAN,left_wing_CHORD_1,left_wing_CHORD_2,left_wing_SPAN
tbar_double,1664146.541958484,3236852.0412811455,3368596.390705063,-399.2244967779515,-5.135007678105714,-16.551432632604417,1453.69552844068,1953.2864151861147,1449.0579144940712,1496.4595681479998,984.5828791313838,469.79502194578606,2023.8805932907233,2028.899399246744,2026.3353598694114,511.173257973925,1969.8782225965067,1541.7536247982396,501.29000299419977,539.5889457170349,1083.1238583547654,1019.148879423487,1552.049056615629,1537.9646146660625,1575.6351192423026,1563.1658786558687,1601.9533113680604,1508.2166301228137,1571.55493675196,1513.8121921492325,1535.9349842045592,1524.5645462312455,1375.050140516183,1421.7975115623158,7954.831274670395,1410.9064720394713,1381.535059987446,8018.81519565577
tbar_double,1658997.1876839756,3233684.6056992225,3367570.7935267566,-399.57916543028335,13.816079013849402,-15.506361024703471,1472.0242736728226,1936.4453526376692,1460.7078792004058,1508.8198051024008,966.7683338023177,465.72323619685847,2020.5555221104607,2042.633713350776,2017.182560916853,507.8104805881683,1954.6489031437136,1527.7486217534668,520.3682495202519,534.1705752945995,1096.55143686818,1016.3523387281545,1561.5158057353121,1518.670226301723,1587.656330244281,1581.4161315772633,1599.7987846148424,1515.174941762076,1584.4259004534913,1496.2573476972727,1548.2393710694903,1524.305245139597,1356.9068440105239,1432.8329002622163,7957.278524323163,1412.7593881611344,1389.3297476055573,8027.3971296211785
tbar_double,1657980.0710114508,3234145.9895922802,3372892.855473011,-401.7640650292817,-9.44876633828533,-15.947908491072983,1480.1926391643462,1939.4471158004415,1480.1968196602509,1505.759010858858,974.1365781615292,462.8320499848766,2030.701071636555,2034.8829062829593,2005.9790514231968,505.7227096628189,1964.0743600721764,1535.5875576692615,523.859480228135,535.3365798087805,1100.276741268851,1006.2365493407544,1555.3364085242063,1502.5924500687627,1575.4381184587853,1600.3220700595207,1584.7471562065773,1516.6757307633802,1587.5145107559147,1477.7891367678453,1557.0804000901476,1520.4067848297193,1366.3085677451256,1439.20409285784,7940.438671166834,1430.3111121623876,1397.7171414791183,8023.085060829205
tbar_double,1670884.7330893094,3232349.668831672,3375799.684817063,-399.6083329636859,-10.064589164366808,-17.56225493540655,1467.0275973031576,1952.3769842389638,1486.3450694332537,1521.000315521068,960.2040337867613,462.40129269419776,2041.9859540155965,2051.1569487623215,2017.0495102471907,511.8234550351743,1953.0809531162163,1549.9449802399697,518.6837556877178,528.0913652263697,1086.4892425481469,1002.1728313383938,1571.9637965483423,1516.576074144734,1559.697395230138,1613.8037192403538,1589.1812431341339,1512.5860568327541,1591.6519956183372,1482.9261002903522,1553.3212439078225,1526.1213599382552,1355.8638340025536,1427.797445624712,7934.824724834357,1416.055462776077,1384.1141841804858,8004.214981405065
tbar_double,1671743.65196307,3236734.8554205075,3373059.6876997277,-396.86112023788,19.168226439563018,-17.118525900648535,1471.2186863918384,1949.8304700915203,1484.3317691055342,1509.3753063756592,945.8437365337537,449.55279228213436,2040.3652057599304,2032.7179061173795,2026.8211879044977,494.6745616381255,1953.4442313659474,1568.1600049902634,536.3665106579487,541.5765426258126,1100.3512251935128,998.7036565944845,1579.759172991889,1517.83226800458,1549.8500808325266,1625.5222583071727,1585.0917588424782,1494.5920884205175,1576.012361614902,1465.1642822710346,1550.6992561182835,1527.5656801261623,1340.4042075931839,1434.3670774549573,7946.21933460174,1405.5602825954652,1384.064054918349,8003.437728204055
tbar_double,1652533.993166042,3231370.6678365534,3372568.62619036,-395.95680792608596,28.646266048838626,-15.31758703048827,1480.9721662466404,1930.1726174752225,1502.855509467187,1504.3856097996272,945.8329027433855,436.3442971172603,2034.2816469177246,2025.2464070699978,2015.4613006518584,505.81357152201565,1950.1822062552558,1549.2433227137446,551.716767946304,546.3134740759007,1085.7720267113375,982.1431066537839,1582.4962312095429,1534.8447746994439,1540.9852816427153,1623.2932751007265,1573.0836398176086,1479.0628054088722,1571.1323446460508,1480.2542491212057,1547.9190091601292,1533.723354830299,1350.0915807206945,1448.3043561999625,7946.74896443804,1412.3680887928901,1380.6584882207928,7984.13277932324
tbar_double,1658064.591107666,3229580.27661347,3375922.1876911996,-397.9478045290254,40.68891960005309,-17.9902843484603,1495.7914041823362,1948.581132590952,1520.6895195225293,1521.4749635218955,939.8524439654359,450.0485807204435,2015.2269040986737,2040.774942426633,2003.1641529903613,493.00861382827037,1945.4269212650063,1529.2802009678053,533.0609188272236,528.5844938554768,1076.6750970574137,991.8737799385852,1585.4108518257362,1528.4143332976207,1530.5199412473478,1630.7138832211663,1589.5940525236877,1494.1891367754906,1576.8761847918227,1488.9160878666426,1533.3259911260604,1531.3927847018622,1362.268650749027,1454.5368001337722,7957.38670951066,1410.9920229932081,1372.9169223780134,7971.2535017296805
tbar_double,1652802.4479027842,3220673.2613173705,3373118.745869277,-398.28805580470254,62.09088061098866,-17.015227265232827,1502.6084309880926,1941.1187156635572,1512.4066461434188,1513.6783188555767,936.8046713836704,462.1505274594257,2007.4339417689775,2046.3552152403513,1988.148427526449,508.7630438375685,1939.7452308108448,1526.30809419463,516.1596056114103,514.4178581939191,1072.438045393406,988.2733002106422,1572.8090665431191,1508.695042170771,1531.1010083766137,1634.9904516184301,1583.6332147962628,1501.4495027283024,1565.2048302260748,1472.8003120017745,1523.010486355386,1545.2342362705149,1382.0599407125194,1455.6357379760232,7972.213757511366,1395.808023619302,1360.1197845893998,7983.904340136353
tbar_double,1656266.6161821492,3216303.189831123,3375201.576199861,-396.3663115177598,42.428920533925435,-18.380692347661665,1499.2677592864723,1925.7815618899608,1531.2150015034701,1512.2507022982982,948.1423761094791,478.42879211369916,2023.7389191911507,2040.4872291923648,1971.9022972811404,496.1593340288262,1943.5802766863912,1536.031453087251,517.814545754021,504.3056695658043,1065.8932368188323,1002.2403225122661,1592.4234905955057,1510.7005027735158,1518.0492662304532,1641.892513896488,1589.1088268705512,1502.844326479763,1547.8690666677867,1466.557059216928,1518.6355973222978,1538.434011304321,1364.1341519202174,1447.935108190708,7952.275326730639,1401.4341126378913,1373.923108039842,7972.245774765532
tbar_double,1658553.6681811826,3212265.582598583,3377904.1339437594,-401.71718095314515,71.74480011495798,-19.095815503292332,1504.9015289852316,1931.3384194708333,1539.1619031206483,1527.3127529615097,933.2903196460823,479.4784855648031,2019.4819782807397,2051.03947835908,1970.2244378318537,505.8362854898959,1927.4759380727314,1546.7347099392891,501.8886715875492,503.19825114567124,1057.6226004079465,1017.7532387539743,1592.1286649717622,1504.2993793547303,1510.956983368791,1635.5718784560336,1570.950701698625,1496.8077244077763,1565.185371900665,1464.9617387117412,1506.6709746043748,1519.1715881739767,1367.3171630357851,1465.4137971604757,7938.436303855777,1391.7155870203542,1388.0463356430178,7977.682490309625
