GUID,AnalysisError,Interferences,mass,Mass_Requirement_Met,Mass_Error,bbox_x,bbox_x_Requirement_Met,bbox_x_Error,bbox_y,bbox_y_Requirement_Met,bbox_y_Error,bbox_z,bbox_z_Requirement_Met,bbox_z_Error,Ctrl_R,Flight_Path,Q_Angles,Q_Angular_velocity,Q_Velocity,Q_position,Requested_Lateral_Speed,Requested_Vertical_Speed,Battery_amps_to_max_amps_ratio_at_Max_Flight_Distance,Battery_amps_to_max_amps_ratio_at_Max_Speed,Distance_at_Max_Speed_(m),Max_Flight_Distance_(m),Max_Hover_Time_(s),Max_Lateral_Speed_(m/s),Max_uc_at_Max_Flight_Distance,Max_wing_segement_load_ratio,Min_max_nontrim_signed_acceleration_error,Min_max_nontrim_signed_acceleration_error_Speed,Motor_amps_to_max_amps_ratio_at_Max_Flight_Distance,Motor_amps_to_max_amps_ratio_at_Max_Speed,Motor_power_to_max_power_ratio_at_Max_Flight_Distance,Motor_power_to_max_power_ratio_at_Max_Speed,Power_at_Max_Flight_Distance_(W),Power_at_Max_Speed_(W),Speed_at_Max_Flight_Distance_(m/s),
result_1,0,0,0.9125564151726453,False,0.4125564151726453,526.7418873655915,True,0,526.7418873655915,True,0,241.70587824680808,True,0,"0.1","1","1","1","1","1","30","-1","0","0","0","0","0","0","0","0","1.26389897","3.00000000","0","0","0","0","0","0","0",
result_2,0,0,0.9125564151726453,False,0.4125564151726453,526.7418873655915,True,0,526.7418873655915,True,0,241.70587824680808,True,0,"0.1","3","1","1","1","1","25","-1","0","0","0","0","0","0","0","0","1.26389897","3.00000000","0","0","0","0","0","0","0",
result_3,0,0,0.9125564151726453,False,0.4125564151726453,526.7418873655915,True,0,526.7418873655915,True,0,241.70587824680808,True,0,"0.1","4","1","1","1"," 1","0","-1","0","0","0","0","0","0","0","0","1.26389897","3.00000000","0","0","0","0","0","0","0",
result_4,0,0,0.9125564151726453,False,0.4125564151726453,526.7418873655915,True,0,526.7418873655915,True,0,241.70587824680808,True,0,"0.1","5","1","1","1","1","25","-1","0","0","0","0","0","0","0","0","1.26389897","3.00000000","0","0","0","0","0","0","0",
