vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,t_cross_mp_top_prop_DIAMETER
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1557.0925292854083
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1545.968238551703
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1554.3168883054702
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1566.1552332719402
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1565.4915441203002
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1575.653337628635
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1593.638378238205
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1587.8018902938966
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1575.6115473172144
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1592.2884304915517
