vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,t_cross_mp_top_prop_DIAMETER
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1574.6475741587885
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1585.755474653296
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1578.7821478912872
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1559.3205140421153
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1543.5941071714742
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1562.2527306630982
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1577.0577841623967
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1572.2756840047123
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1574.852882447552
dummy,96717.27922972573,12706.779229725747,12706.779229725747,-1231.4999999999998,-9.203415099265132e-15,-1759.999999999999,1556.677272386723
