vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,cylinder_0_LENGTH,fork_l_1_LENGTH,fork_r_1_LENGTH,tbar_post_2_LENGTH,tbar_post_3_LENGTH,tbar_cross_1_LENGTH,tbar_cross_2_LENGTH,post_l_1_LENGTH,tbar_cross_3_LENGTH,tbar_post_1_LENGTH,post_r_1_LENGTH,t_cross_mp_top_prop_DIAMETER,t_post_mp_bottom_prop_DIAMETER,fork_post_mp_1_prop_DIAMETER,t_cross_mp_bottom_prop_DIAMETER,fork_post_mp_2_prop_DIAMETER,tail_tbar_post_mp_prop_DIAMETER,t_post_mp_top_prop_DIAMETER,tail_tbar_cross_mp_prop_DIAMETER,right_wing_CHORD_1,right_wing_CHORD_2,right_wing_SPAN,left_wing_CHORD_1,left_wing_CHORD_2,left_wing_SPAN
tbar_single,1492068.7214101704,2805330.4470172897,2694643.66424142,-279.889156672547,5.82987580258153,-12.127641968958647,1997.9371968769256,1507.5136589168183,1511.942547747394,2018.3877190243263,1990.3581009631978,994.8966948395031,1017.953028692044,517.7680877106433,985.8143989161856,1984.2928607428887,514.6938472111054,1567.94335294874,1558.3532712774468,1594.4842336519491,1578.1378174268914,1592.9214787682547,1560.8571554024436,1564.35100413748,1559.3788126111256,1393.4354639569153,1404.4714767370003,7983.015362167005,1393.9308980885664,1389.6151515420484,7985.498757735079
tbar_single,1484958.0215747403,2801548.629493409,2689749.5841683806,-277.33641037136647,26.44905052171018,-12.10101827506192,1983.6410099916945,1493.0242789317606,1514.3115879878694,2004.7551009012514,1975.9220946024682,991.0994686640963,1019.9236179205021,519.3344792002274,980.8801781453515,2001.4491403561053,496.6168036745148,1572.232929357698,1558.6458301980927,1584.2866267445122,1576.4068078907835,1577.2771466376669,1552.4368249883537,1568.9944394069926,1553.3317396261793,1393.6246750016296,1412.6364482762604,7970.588578484487,1380.2584489565536,1372.2714745527014,7986.565009980772
tbar_single,1482860.9325427485,2801570.3337306073,2688980.6412515845,-275.6733905040486,3.3883474232408037,-13.641863015532946,1989.917840275208,1483.9407360362172,1523.3059393157155,1992.917816197082,1990.9030142165313,975.6238749997938,1009.1033885074024,511.343349995886,999.8624104236651,2004.6555127445067,495.2331454113163,1576.4758453911113,1548.4962277509321,1568.8463927414382,1570.4081399880345,1582.3402972420483,1559.9082840456733,1572.8948050184842,1538.1180369999634,1385.7686334275413,1408.2510869029293,7982.396361526133,1398.9492805490988,1367.146719389874,7987.753178090377
tbar_single,1480001.8000196067,2800178.910753489,2686410.1711266898,-272.4559628388149,25.10594263103231,-13.497854149828884,1980.8073096994688,1466.3060410894686,1523.9942671735805,1990.5672158704022,2002.936927739949,969.1674405260568,1009.3684178965723,501.8854870846467,1001.2804668829702,1999.1569945508677,484.4811943712664,1563.7180120876203,1536.3705588944404,1588.8235191907554,1577.1523031978295,1566.5721611071742,1551.3506882586362,1572.3886945513248,1543.9873976669242,1376.1254690881465,1410.5559979039454,7996.008554808805,1390.4315814924696,1353.4041570015268,7976.780740272683
tbar_single,1483157.2247006197,2801991.4679793543,2685312.263847994,-273.9313894406194,-10.602768225614408,-11.914702103835165,1989.2464162293807,1484.6162286721446,1504.5804491538618,2007.9923695605723,1998.605823051583,977.9201852265649,992.3754031145834,490.40952120538236,1009.4618340762324,1998.2225399940096,489.679850696703,1575.782101541742,1549.1729786340738,1578.9126792261404,1576.463108633255,1585.792049407715,1557.8512926617468,1565.8148479648487,1553.647389791737,1376.7600669565763,1394.9734249725125,8015.979098546424,1408.3004020020824,1345.9866912902592,7966.423086188723
tbar_single,1484467.9949420968,2811590.752870441,2690738.2299611648,-274.8843546331393,2.6475807171963224,-11.895869656882978,1991.7860477024647,1502.8762828059996,1523.0792177069047,2006.771976183665,2008.876335981535,986.4728799432065,975.8003265733352,472.13149845424687,998.4361457319261,2004.183927464924,499.88298268006326,1581.0209503559527,1538.255663715468,1573.5558750021753,1565.454203517988,1566.8886777479092,1557.5370922194206,1584.253075002783,1556.9925479263463,1376.3047930782343,1399.2558891401816,8018.46123107242,1404.2979765684345,1355.9205801239236,7961.7797686925605
tbar_single,1470377.3870822133,2802737.2417832185,2690695.89261405,-275.0903050531627,1.3954151575339147,-12.985167335918373,1993.444155934092,1502.825095158708,1507.5777191842155,1998.3333530527993,2026.2654890023136,977.277204027825,983.4699608671104,459.3709003081186,983.4017306910753,2006.3552138937405,487.97443723224495,1578.4885609376597,1519.001303162842,1584.7055531700564,1558.0966155874785,1570.4060177664828,1541.0749270905617,1590.3351974863367,1575.1601834492828,1393.9279282932623,1403.45883439928,8023.378191299889,1408.5831600194676,1360.7565482150121,7977.152668110373
tbar_single,1473638.5681448327,2798649.237482031,2693020.152519505,-274.92686584949126,17.693075203594987,-12.309671039084371,1983.3396623312237,1512.0789757252994,1505.2581033525478,1979.725116523255,2008.477415461905,996.8220538445185,1003.3398443859646,464.71306538964956,977.7941324051717,1992.8513651875662,504.2266815475591,1595.6210363304929,1503.1496821798853,1594.658968887524,1567.8025586657525,1588.8458331581455,1534.6750432438998,1590.792078599326,1592.3670287989746,1382.7096047819534,1411.538291454243,8014.590971737399,1403.5823994860143,1369.2332201538304,7981.221443697962
tbar_single,1474240.7172727247,2800014.8744911966,2699414.9294068622,-276.082891425965,30.489903368400917,-11.747536748821371,2002.851541304543,1515.3565730402593,1522.9001682297476,1980.3571444901415,2012.3564476732263,1000.0044420055884,1010.7947094181833,450.98379721842576,967.0708546414983,1981.493474223665,486.7187104577424,1603.3956301789178,1499.030084375842,1597.0225983943624,1586.5429438637982,1580.965891058959,1530.7410544713052,1582.424250737696,1604.069958432199,1388.144600377137,1431.0375843872696,8015.150793289755,1411.9461573175943,1355.9267945744543,7979.769966454165
tbar_single,1468929.3917595404,2802683.017408146,2699847.8509818865,-275.780811336422,21.76000271066344,-12.652039346229147,1999.2443068862526,1499.198221254651,1539.671524241551,1964.4985079538656,2018.6640421188606,1017.2391128627246,994.2663419639945,449.2662308694603,962.4376137199953,1967.8590121419709,488.75680795780096,1609.027619056452,1500.8276574411084,1607.146266871307,1566.5988136542387,1570.6974730347874,1519.76529037305,1588.4707559225953,1612.7603379614293,1405.6600357230711,1417.018997956247,8011.692527306362,1400.5931274722682,1355.1436813787172,7982.588353398408
