vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,tbar_cross_1_LENGTH,tbar_post_1_LENGTH
tbar,92237.61594101024,85587.09677232165,105747.88753041787,-677.4063731402111,-138.96623756578978,359.99999999999983,481.1019153872962,510.79662077388537
tbar,91047.53176955604,84014.23687370007,104089.49651505497,-674.6634282839042,-137.9940098355103,359.9999999999997,479.3761169715734,498.47275646049906
tbar,93113.41013335048,85902.83870539026,106453.70287758489,-676.3839800989174,-133.69224056060716,359.99999999999983,491.5546143468746,506.3234932693271
tbar,90879.05322011805,84442.55634238479,104252.82509454078,-676.618367611842,-142.48187569123593,359.9999999999996,472.0280478931014,507.20452301112476
tbar,87891.69499887148,81490.72054520622,100698.85427352898,-673.2623911113758,-147.1378675020252,359.9999999999999,456.83014920872085,492.2936651225659
tbar,88856.49832889042,82387.21091073076,101811.96660334899,-674.1450282416548,-145.23221550870156,359.9999999999997,462.3574167914163,496.19653353838333
tbar,89979.00306962902,82192.3045794954,102348.87661716886,-670.8665360709466,-134.11513940956158,359.99999999999994,482.3164328258859,480.7861459878904
tbar,87061.76765448826,79782.51172433453,99166.86481865197,-669.2626832232273,-142.06212467657406,360.0,462.32666197524844,473.818346425361
tbar,88037.16966786681,80966.21115576857,100462.58466848554,-671.0849419830545,-142.13955243944966,359.9999999999998,464.874407254526,482.2477631741774
tbar,87534.30573052571,80867.45430972936,100108.1576840258,-671.9041497201812,-145.77367359041767,359.9999999999999,457.9655145301352,486.1539987763183
tbar,88872.39451651573,81392.65850933638,101212.04921313052,-670.6490245110676,-137.96303783260416,360.0000000000001,473.4806188688152,479.99091306881024
tbar,88704.26554673364,80989.99902351131,100866.88754342047,-669.6776581442845,-136.50102006257808,360.0,475.21521149200294,475.33215780754796
tbar,89123.28378235435,81360.77000348845,101339.05728470467,-669.9884371209988,-135.53835406800886,359.9999999999999,477.8166453745631,476.730881640798
tbar,89332.53542821314,81264.36524281479,101402.11339416017,-669.2202537466638,-132.99415933824872,359.99999999999983,482.19809910056017,472.88363068281666
tbar,88970.53642100687,81125.17333744424,101105.32028779715,-669.544367496026,-135.15497699178547,359.9999999999998,477.96776358199213,474.5995754418493
tbar,87201.88440642954,78778.78719246139,98632.03041886164,-665.7441058234393,-133.4518366900189,360.00000000000006,475.5574902245207,456.0564740113715
tbar,85025.209713925,76365.24609214455,95878.05489752044,-662.6481394533014,-134.8093941472118,359.99999999999983,467.4183119069976,440.86434693672214
tbar,86155.03140161322,77835.78050490364,97441.73188288439,-664.9105393757977,-135.73627587687795,360.0,469.24832560290963,452.2815916123988
tbar,86532.54767253612,79257.41763043164,98535.62050833147,-668.6714942849035,-142.86520086041205,359.9999999999999,459.66369693074705,471.13349567882483
tbar,84710.56825323566,77899.31430317003,96638.33372909404,-668.1204442070358,-148.88347767794005,359.99999999999983,445.5719144691675,469.1517230489048
tbar,84256.95691859111,78070.4113195239,96478.46387267206,-669.7317061607134,-154.01357390184285,359.9999999999997,436.48747992697105,476.88176194949887
tbar,85510.6744441178,79692.68516106094,98205.44292786966,-672.5433139850251,-154.76121166231528,359.99999999999983,438.6639604037394,489.336012730312
