vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,tbar_cross_1_LENGTH,tbar_post_1_LENGTH
tbar,78255.35115065354,64097.16799173971,84309.23126670247,-644.8944505647552,-98.86898171550143,360.0000000000002,495.69736874899803,314.57579252760314
tbar,77330.36092258226,63116.35324833277,83158.48780318706,-644.1465809690596,-99.48450716002091,360.0,491.889301529948,308.63491791065286
tbar,76044.94120168491,62647.410909911436,82130.09084260384,-644.0769143502278,-108.35002284770088,359.9999999999999,476.4131057469082,315.3986747610241
tbar,76267.27314980085,61925.42136159552,81794.29395637092,-643.2497641364486,-99.59158179846003,360.0,488.2558811824329,300.71107385710684
tbar,75674.18651759882,62237.996961803576,81658.56675857193,-643.7416180050643,-108.46200913068324,360.0,475.0702442657331,312.74684844666103
tbar,74256.00407542761,61331.9257238489,80275.82585661093,-643.2096402681086,-114.75013836165937,359.99999999999983,462.4231796296957,313.6795205574559
tbar,75716.56651865049,62300.67058426633,81722.5989787517,-643.7979562477466,-108.5905589001414,360.00000000000017,475.0429212705986,313.31664368687393
tbar,79033.3199965154,65569.21074741181,85687.39643200289,-646.3733326513171,-104.04552088833144,359.9999999999999,491.57835627146284,330.37043251282904
tbar,77581.88910167366,63395.65764883254,83479.51137089744,-644.3617121374853,-99.43206305337524,359.99999999999983,492.78014344036853,310.46374392694213
tbar,80165.61637999072,66250.50680363276,86764.8984243151,-646.6609037526164,-98.67542594188144,360.00000000000017,502.1487640046468,328.9284748506416
tbar,79869.50252394172,65753.26327840709,86280.71025071786,-646.1694202330391,-97.26710495041604,359.9999999999997,502.9961119137794,323.97915070463466
tbar,80798.96926120119,66978.80977235117,87587.47726791789,-647.2918426562246,-98.71590479406757,359.99999999999966,504.13790930336506,333.9081054399131
tbar,78344.06839368312,65208.20544616498,85065.49153797743,-646.271242851473,-107.77482205328172,359.9999999999996,484.5373809320913,332.14271432353456
tbar,81369.1992768136,68240.87362505513,88710.07173483296,-648.8104893093655,-103.97291384745283,359.99999999999994,499.1124700621939,348.4440120531412
tbar,79337.04202359304,65818.80461614575,86018.76379767746,-646.5432454717588,-103.19092821742373,360.0000000000002,493.65814653475474,331.09794142327394
tbar,81798.30595528115,68053.20468397607,88837.51484714948,-648.2027140985218,-98.10904323451334,360.0,508.130665644536,340.50549715443043
tbar,82088.90735285766,68497.39546206429,89283.98072695949,-648.6735567720881,-99.06891276381849,360.0000000000002,507.8113668471638,344.60719405531194
tbar,85622.51815478993,71923.74211536518,93465.16771763253,-651.4260683660489,-93.60187145188067,359.9999999999999,526.1923347012299,361.6486727063849
tbar,88465.54376483886,74798.29220470392,96900.46535118418,-653.8884894331695,-90.15384684192053,359.9999999999999,539.7096023173834,377.2347785880346
tbar,87599.7822977625,73283.5036633395,95454.36742976287,-651.9906729482215,-85.77104441349061,359.9999999999997,542.730469712009,361.96276663158864
tbar,86122.2250137049,71517.09475504339,93496.66728416795,-650.338251753228,-85.16392838768257,359.9999999999998,538.7804392734581,349.3274281700807
tbar,87573.44238262018,71885.29515790466,94559.71901581102,-649.8537038319932,-73.84324407819545,359.99999999999966,558.0013538962646,339.1125429787062
tbar,85043.4569180308,69437.16357068878,91566.11136125408,-648.1357068041153,-77.66282945600568,359.9999999999999,544.840501667487,326.91195903219113
tbar,86248.12192840762,69693.56826149928,92414.61834118748,-647.870064183971,-67.64254778760373,359.99999999999966,561.4015169423145,317.5393792836805
tbar,85666.51863791156,70237.14438118426,92428.32712137695,-648.81040553955,-78.48397693992084,359.9999999999999,545.8515487369773,333.20548640698433
tbar,83983.86200857107,68376.55596154103,90289.25924182522,-647.3853406223744,-78.93114857084777,359.99999999999994,539.7404794798717,321.19466403300413
tbar,80719.3272397716,65284.69963509299,86464.5523748896,-645.3143175758407,-84.3731753162926,359.99999999999966,522.0794550167897,306.4532930294206
tbar,81067.05498016704,66105.92704371897,87186.08880334962,-646.0518530863096,-88.26008020519285,359.9999999999998,518.3551425920108,316.2903637679624
tbar,78368.96779115252,63598.773207112616,84055.15233499026,-644.3333577857826,-93.20611171495752,360.00000000000006,503.2210459260835,304.8995932588877
