vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,front_wing_tube_r_LENGTH,rear_rail_r_LENGTH,rudder_tube_r_LENGTH,top_leg_l_LENGTH,vertical_l_LENGTH,front_wing_tube_l_LENGTH,rear_rail_l_LENGTH,bottom_leg_l_LENGTH,top_leg_r_LENGTH,front_rail_l_LENGTH,rudder_tube_l_LENGTH,bottom_leg_r_LENGTH,mid_tube_r_LENGTH,mid_tube_l_LENGTH,vertical_r_LENGTH,front_rail_r_LENGTH,front_prop_r_DIAMETER,rear_prop_l_DIAMETER,front_prop_l_DIAMETER,rear_prop_r_DIAMETER,rear_left_wing_CHORD_1,rear_left_wing_CHORD_2,rear_left_wing_SPAN,front_right_wing_CHORD_1,front_right_wing_CHORD_2,front_right_wing_SPAN,left_rudder_CHORD_1,left_rudder_CHORD_2,left_rudder_SPAN,front_left_wing_CHORD_1,front_left_wing_CHORD_2,front_left_wing_SPAN,rear_right_wing_CHORD_1,rear_right_wing_CHORD_2,rear_right_wing_SPAN,right_rudder_CHORD_1,right_rudder_CHORD_2,right_rudder_SPAN
axe,14504.753895722639,46447.47019403391,43170.529143464875,-140.3529296960721,7.177808329949451,-41.163655510470925,38.15097231407319,230.7451476530661,57.04610525317014,136.73492226120712,166.00950793923872,40.26051942951151,220.98782377574125,133.6207556222245,137.9002945858589,82.71169996228244,43.55530111498906,134.95911800899458,140.8819588830864,132.12880576895589,134.9709827150145,63.48560007861455,180.30338691023107,158.89555478034907,187.3414126787496,170.82467418896962,162.3823378012129,164.19761268084198,619.9493081459837,131.12673459413713,160.6009367305669,450.2375721317035,90.22323648081156,86.19759895437073,127.0674845494667,145.18062954459242,147.28917510035956,446.9800630864597,184.3682580285271,173.71052811695702,589.9441856510584,108.59651190069887,87.97047304774165,157.0796186841604
axe,14982.12164413056,46567.490635889604,43045.776968481434,-145.02122065255145,2.1046909410792947,-41.95371082235475,49.45001200021165,225.46055728366684,57.55950480080291,134.21903368525577,183.6910127133159,52.049991784151366,234.92729732290564,129.91055220494925,140.57985729105008,70.16334126973838,52.540718675291856,152.17991762231452,130.4121693416705,138.02298087939923,119.46163384515864,83.22693895947985,183.3013705527803,154.5619214305425,180.31412862710675,175.75103592923253,179.49497449255102,178.93599537463288,629.2210198809786,123.24387531846412,175.3161788644782,454.8278774724966,96.14705832727839,105.8426907875531,114.43368079397533,131.22456324648954,149.4125545992187,452.0788384649174,196.9461537448022,170.69628681789376,597.6009973122615,96.07471815519253,99.85318206923485,157.65537499258662
axe,15093.320631977002,46763.11952901303,43240.214346279725,-147.65440153386635,-5.212925687509111,-42.56206072850181,53.852178844877706,214.12036477339726,60.25297654421089,123.46211530449574,202.5396116306824,61.96502172190663,253.10020966672974,130.5991774922756,140.83880790854096,88.45807517525603,35.51760446169248,151.43054812058767,119.64799440915371,153.45488604038687,107.82793790590767,84.2932508381279,169.76287978622088,159.76000407545436,199.99050680681617,162.58961258930933,197.02944590449974,194.23651301093818,627.0352586083618,122.94359121324912,168.95625937453747,469.14501807901917,84.03337633231615,90.0353406104284,116.27323063106893,147.29441604458444,163.4128605083213,443.3889485743704,194.63868451584815,172.87351457386916,592.6916763149093,91.93354077078124,109.30611800440441,139.7878221522979
