vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,front_wing_tube_r_LENGTH,rear_rail_r_LENGTH,rudder_tube_r_LENGTH,top_leg_l_LENGTH,vertical_l_LENGTH,front_wing_tube_l_LENGTH,rear_rail_l_LENGTH,bottom_leg_l_LENGTH,top_leg_r_LENGTH,front_rail_l_LENGTH,rudder_tube_l_LENGTH,bottom_leg_r_LENGTH,mid_tube_r_LENGTH,mid_tube_l_LENGTH,vertical_r_LENGTH,front_rail_r_LENGTH,front_prop_r_DIAMETER,rear_prop_l_DIAMETER,front_prop_l_DIAMETER,rear_prop_r_DIAMETER
axe,15128.08335032658,47581.17624884755,43556.97239148669,-146.3628336428803,1.0703509051358648,-42.974948815367604,57.55385213233616,207.1704748697362,51.8358500617971,139.84049110754682,152.15656042901952,65.92481938736414,220.66067831093133,168.34563912252597,135.03953850042106,85.80883454236694,30.34862826172028,147.9487256441202,137.94323672753822,139.13221765525648,167.27139153312459,85.85338989067188,171.49473306689697,187.26861743976158,162.10797291327486,185.09306013265612
axe,15154.564027899069,48042.85442754774,44035.84176469975,-146.3010491579111,1.608168424470617,-43.23100075404144,68.75553369937697,218.33128518873949,67.21862613620439,146.17346104345816,167.13198617130874,57.5716592258153,234.69869369277882,178.83156370552865,149.5987382001647,67.65416414482227,27.617906228273817,135.4146131696854,147.19484296207207,126.60075711366905,166.9417683177955,86.38137117647773,180.1927450423219,173.63371464672207,169.66960743745392,169.33651943858473
axe,14555.671070477989,48141.45230335977,43918.89379678565,-145.95145847458622,1.7870591691211608,-42.97313822223978,52.026405998609576,225.96346311835032,70.04889189262981,162.33017167053382,152.12075701134845,76.64530106626914,238.65096576040355,194.4515896411245,140.93192581675444,72.03716239151285,11.469854772181769,139.3952769590753,152.9317458669075,110.51347474674817,154.87604898560528,68.90230326732464,163.60202495550413,189.3518193080447,177.22806050966406,162.55958401190296
