vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,front_wing_tube_r_LENGTH,rear_rail_r_LENGTH,rudder_tube_r_LENGTH,top_leg_l_LENGTH,vertical_l_LENGTH,front_wing_tube_l_LENGTH,rear_rail_l_LENGTH,bottom_leg_l_LENGTH,top_leg_r_LENGTH,front_rail_l_LENGTH,rudder_tube_l_LENGTH,bottom_leg_r_LENGTH,mid_tube_r_LENGTH,mid_tube_l_LENGTH,vertical_r_LENGTH,front_rail_r_LENGTH
axe,15044.623555266122,47650.535918674985,43707.86825833216,-146.56136765907678,0.025448631694509033,-43.08364650805926,66.52963712432553,210.16520002268007,45.263521040847664,140.32089243378607,167.2178516407639,57.227278577171546,224.55686316255105,161.37782535484072,132.11153980273184,76.43909743703408,42.24547353469551,158.9514636739308,124.56417860248604,144.92441009081256,156.00838355567558,83.66944946820486
axe,16448.01190492996,48261.86657952988,43990.99824714559,-146.7949753074409,0.8830275414702737,-42.47365842761125,85.43060617029052,196.06762338423485,59.29298080014116,157.8534148840988,178.32490401231402,64.10360813317804,225.01152320019332,161.9818604740852,140.7581554852445,58.03350502161794,59.15166071304809,162.71593612939964,138.06715426902295,149.0287885470117,161.90229291735585,82.10246826568405
axe,16020.383513271348,48541.835921100355,44076.324942100364,-146.2180555498482,0.9383823444808015,-42.42079911017867,82.57769908574998,200.3389103186882,51.891365224359916,160.10671992834574,166.8602722332954,80.79744728709517,235.44125468996253,169.81460791084388,151.66282815267314,46.81261155945099,45.2882187382044,181.85252535332782,131.08055278395864,133.4266899986137,163.6438805129699,85.4416687648142
