vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,front_prop_r_DIAMETER,rear_prop_l_DIAMETER,front_prop_l_DIAMETER,rear_prop_r_DIAMETER
axe,14575.560526991574,47045.59618954296,43699.825285882,-146.11888044573334,6.751999653576034e-14,-43.0362583891534,188.71246199760952,173.20061201676336,196.2553697205303,175.50001069417868
axe,14575.560526991574,47045.59618954296,43699.825285882,-146.11888044573334,6.751999653576034e-14,-43.0362583891534,204.29612714711644,182.76519823097993,195.1824446847242,184.5714042213371
axe,14575.560526991574,47045.59618954296,43699.825285882,-146.11888044573334,6.751999653576034e-14,-43.0362583891534,190.56176533321624,175.26320583728653,198.21802480374689,188.03636847313905
