subject,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z,HORZ_DIAMETER,VERT_DIAMETER,TUBE_LENGTH
capsule,-800.0000000000022,799.999999999998,-100.00000000000014,99.99999999999986,-51.938806000241655,51.938806000241655,597525.8119469234,-350.0000000016383,0.0,3.8416628783524978,1.55e-06,1.3642600024623524,880167.7435240983,2762.4843138171273,72729.55379785088,72789.49869740508,100,100,700

capsule,-850.0000000000014,849.9999999999986,-99.99999999999994,100.00000000000007,-52.05771804206093,52.05771804206093,635369.1941192939,-375.00000000217307,0.0,3.845308380807715,1.55e-06,1.4503660956716902,935720.0617236712,2942.948105164379,87199.44363856461,87263.88971165555,100,100,750

capsule,-900.0000000000025,899.9999999999976,-100.00000000000016,99.99999999999984,-52.17674951947587,52.17674951947587,673212.1989882077,-399.9999999919655,0.0,3.8486836981757135,1.55e-06,1.5364817861321705,991278.5716981745,3123.426737864688,103483.14191166165,103552.09258120037,100,100,800

capsule,-950.0000000000024,949.9999999999976,-100.00000000000006,99.99999999999996,-52.29588185409458,52.29588185409458,711055.501923818,-424.9999938887545,0.0,3.8515898649493643,1.55e-06,1.6225903273057622,1046832.469229524,3303.8954017096157,121686.83802815857,121760.29297342754,100,100,850

capsule,-999.9999999999999,1000.0000000000001,-100.00000000000009,99.99999999999991,-52.41510011928383,52.41510011928383,748898.8215216217,-449.9999928434368,0.0,3.8542071704942633,1.55e-06,1.708698635583725,1102386.216505629,3484.364269428639,141918.7821733286,141996.74225437007,100,100,900

capsule,-1050.0000000000045,1049.9999999999955,-100.00000000000024,99.99999999999976,-50.087073667793405,50.087073667793405,786742.13866904,-474.9999910079324,0.0,3.856571717857555,1.55e-06,1.7948068555772911,1157939.9068240589,3664.8329783306467,164286.60970017716,164369.0750104933,100,100,950

capsule,-220.00000000000003,219.99999999999997,-100.00000000000006,99.99999999999994,-60.59778364253624,60.59778364253624,166390.4620261383,-49.99999998690088,0.0,4.261235100581343,1.55e-06,0.384181663041623,247859.1374462084,859.3873835666741,1913.754859061386,1778.5946127845814,100,120,100

capsule,-270.0000000000002,269.99999999999983,-100.00000000000004,99.99999999999997,-60.70604569219117,60.70604569219117,206893.69647971418,-74.99999960656426,0.0,4.344115582999487,1.55e-06,0.4763591746682523,307328.4997859692,1101.0521201105084,3318.127665257458,3148.969077905576,100,120,150

