subject,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z,HORZ_DIAMETER,VERT_DIAMETER,FUSE_CYL_LENGTH,FLOOR_HEIGHT
capsule,-831.6583333333346,831.6583333333319,-178.29333333333332,178.29333333333332,-150.4739656470265,150.4739656470265,1266281.2719921074,-265.5625000065129,0.0,4.5748653512182385,1.55e-06,2.929595118012527,1890061.3664596947,37112.72495712207,184001.51278690092,168788.68020786083,178.29333333333332,300.53333333333336,531.125,16.0365
capsule,-410.6483333333336,410.6483333333331,-325.2800000000002,325.27999999999975,-85.34815409219156,85.34815409219156,785092.6141529894,-120.01750000033377,0.0,7.607889355319136,1.55e-06,1.7813204589049179,1149239.0057451082,21479.908540498614,30830.527834135162,40402.47460092487,325.28,170.61333333333334,240.035,21.130499999999998
capsule,-827.8549999999998,827.8550000000002,-517.0666666666671,517.0666666666663,-38.39443553410288,38.39443553410288,2410873.202945923,-375.7675002740054,0.0,4.046304519941657,1.55e-06,5.451708234432483,3517231.118988699,117442.65479025076,316459.3218893858,426651.9696868795,517.0666666666666,76.32,751.535,20.1225
capsule,-1490.5216666666684,1490.521666666665,-388.21333333333337,388.21333333333337,-268.1885473179646,268.1885473179646,4335367.138854139,-477.44750010238215,0.0,4.912894057530776,1.55e-06,10.064222312579094,6493046.653276835,473850.6324205769,2085659.7864657773,1962744.257791271,388.21333333333337,535.6266666666667,954.895,16.4055
capsule,-944.1283333333336,944.128333333333,-303.9466666666664,303.9466666666669,-338.03814716711787,338.03814716711787,2741841.0823717816,-134.27750003566825,0.0,1.100343601712756,1.55e-06,6.376401994477731,4113807.7383727296,306535.61417324527,659962.1791724515,487458.92605469463,303.94666666666666,675.5733333333333,268.555,13.8045
capsule,-849.301666666667,849.3016666666663,-249.7600000000002,249.7599999999998,-265.795159870853,265.795159870853,2008993.5030825273,-159.0775000511228,0.0,3.4429901833781598,1.55e-06,4.668614614445751,3012009.4286746783,147570.3152805962,364513.33110112074,284073.3598272328,249.76,531.1466666666666,318.155,17.674500000000002
capsule,-709.0983333333339,709.0983333333328,-438.13333333333355,438.1333333333331,-54.38755288432418,54.38755288432418,1633133.267298509,-300.2825032038435,0.0,5.972135154460178,1.55e-06,3.6988424396287773,2386349.9610508243,60881.94600615019,162181.70103647938,211434.4223011941,438.1333333333333,108.53333333333333,600.565,13.570500000000001
capsule,-639.8250000000008,639.8249999999994,-97.44,97.44,-149.67942439931744,149.67942439931744,795657.8344551654,-170.3924989066638,0.0,3.0484118390983603,1.55e-06,1.8461070960443058,1191036.8361576167,16216.826082141908,69183.34284610824,57310.37166669843,97.44,299.03999999999996,340.785,18.5205
capsule,-408.37166666666667,408.3716666666666,-104.69333333333336,104.6933333333333,-30.723227533955804,30.723227533955804,269284.0905659014,-173.49250000321777,0.0,2.606410656049679,1.55e-06,0.6156830094831948,397214.8448278676,834.4670591620895,8667.056073668007,9035.114943997169,104.69333333333333,61.38666666666667,346.985,17.2065
capsule,-935.295,935.2950000000003,-166.34666666666692,166.3466666666664,-190.07250709226386,190.07250709226386,1622596.413702483,-277.80749989543534,0.0,5.404163978719925,1.55e-06,3.763733979656618,2428215.470746205,62765.43157208407,298787.524668543,261630.21845077607,166.34666666666666,379.68,555.615,22.9755
