vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,front_right_level_3_cylinder_LENGTH,right_level_1_cylinder_LENGTH,rear_left_level_2_cylinder_LENGTH,1_oclock_level_3_cylinder_LENGTH,top_level_2_cylinder_LENGTH,7_oclock_level_3_cylinder_LENGTH,4_oclock_level_3_cylinder_LENGTH,rear_right_level_3_cylinder_LENGTH,rear_right_level_2_cylinder_LENGTH,front_right_level_2_cylinder_LENGTH,2_oclock_level_3_cylinder_LENGTH,rear_cylinder_LENGTH,front_left_level_3_cylinder_LENGTH,right_bot_cylinder_LENGTH,left_bot_cylinder_LENGTH,right_wing_wing_cylinder_LENGTH,11_oclock_level_3_cylinder_LENGTH,rear_left_level_3_cylinder_LENGTH,left_wing_wing_cylinder_LENGTH,10_oclock_level_3_cylinder_LENGTH,left_level_1_cylinder_LENGTH,5_oclock_level_3_cylinder_LENGTH,front_level_1_cylinder_LENGTH,front_left_level_2_cylinder_LENGTH,left_wing_cylinder_LENGTH,rear_level_1_cylinder_LENGTH,right_wing_cylinder_LENGTH,top_level_1_cylinder_LENGTH,8_oclock_level_3_cylinder_LENGTH
spade,2549002.6676611807,4070915.87719449,5314751.798344475,-1364.6070217863253,0.9746837684711638,-332.385999329168,161.80319902819866,151.2997564005997,148.98220236388366,139.1959047738223,146.6593857064213,144.3918982210014,161.44619648281756,152.6719408900222,145.91283805848394,168.0475112143597,150.7542486749529,285.9580077098997,147.43348729702717,1991.1997260031133,1984.953148672881,380.2674599712975,166.23009418025083,139.715145511663,417.2479695686042,169.8120380373752,150.83972536352067,147.1608936839779,159.76276864422667,153.71486221586923,27.566298393948813,147.5936057429287,13.79771540033629,181.95244312899388,147.59492376163843
spade,2545337.787262238,4057947.3624983146,5311693.056726981,-1367.4877949261577,2.239480142561889,-332.405319607569,144.87907629248252,144.0166039196689,132.1939296714748,146.17996476834392,139.98759395509163,153.36474474705307,161.3008780926463,138.65485441303906,148.36860946743468,183.73261719378846,165.32635312466633,273.32764202937335,167.00629064553812,1980.7375940253764,1985.298146254304,372.2018499282845,180.7568209555191,145.28136283083717,415.1049250806047,159.52932537421097,160.61745888054233,162.39746800549295,162.22511294237873,147.4679312202751,24.498239877383003,150.92980698869366,21.995465484682523,192.66324733430818,158.78445139556138
spade,2560400.9892009306,4067486.441745587,5313875.120704621,-1376.3785155303112,2.4666645319646796,-336.4004696795042,154.77060980599623,153.89776816449543,127.29733741642309,147.99330548131383,148.47748497826106,163.9277514503191,155.84822971552023,126.99452951152591,150.47674980771524,196.38262382770165,157.49249236134037,267.4883352092389,159.8556766065134,1984.8004762524356,1991.4588924644568,389.54581680287896,191.27938750488408,128.38159529967538,405.33594945776446,178.34646027774238,165.82396751962185,148.9906581021291,173.92842780132008,131.34192134824752,40.22650407723968,152.2377343301856,39.91278005898623,198.00046415990508,152.56813268042586
