GUID,AnalysisError,Interferences,mass,Mass_Requirement_Met,Mass_Error,bbox_x,bbox_x_Requirement_Met,bbox_x_Error,bbox_y,bbox_y_Requirement_Met,bbox_y_Error,bbox_z,bbox_z_Requirement_Met,bbox_z_Error,CargoMass,Ctrl_R,Flight_Path,Front_Rail_Length,Landing_Approach_Height,Mid_Tube_Length,Q_Angles,Q_Angular_Velocity,Q_Position,Q_Velocity,Rear_Rail_Length,Requested_Lateral_Acceleration,Requested_Lateral_Deceleration,Requested_Lateral_Speed,Requested_Vertical_Acceleration,Requested_Vertical_Deceleration,Requested_Vertical_Down_Speed,Requested_Vertical_Speed,Vertical_Landing_Speed_at_Ground,Vertical_Tube_Length,front_l_wing_offset,front_wing_load,front_wing_span,fuse_length,railDownLen,railLowerLen,rear_l_wing_offset,rear_wing_chord,rear_wing_load,rear_wing_span,rudder_wing_load,Average_speed_to_traverse_path,Battery_amps_to_max_amps_ratio_at_Max_Flight_Distance,Battery_amps_to_max_amps_ratio_at_Max_Speed,Battery_fraction_used,Distance_at_Max_Speed_(m),Flight_distance,Input_LQR_weights_Qp_Qv_Qav_Qang_R,Location_of_maximum_distance_error,Max_Flight_Distance_(m),Max_Hover_Time_(s),Max_Lateral_Speed_(m/s),Max_uc_at_Max_Flight_Distance,Max_wing_segement_load_ratio,Maximimum_error_distance_during_flight,Maximum_ground_impact_speed,Min_max_nontrim_signed_acceleration_error,Min_max_nontrim_signed_acceleration_error_Speed,Motor_amps_to_max_amps_ratio_at_Max_Flight_Distance,Motor_amps_to_max_amps_ratio_at_Max_Speed,Motor_power_to_max_power_ratio_at_Max_Flight_Distance,Motor_power_to_max_power_ratio_at_Max_Speed,Path_traverse_score_based_on_requirements,Power_at_Max_Flight_Distance_(W),Power_at_Max_Speed_(W),Spatial_average_distance_error,Speed_at_Max_Flight_Distance_(m/s),Time_of_maximum_distance_error,Time_to_traverse_path,Velocity_at_time_of_maximum_distance_error,RES
result_1,False,0,3.585416960302733,False,3.085416960302733,395.0260232918555,True,0,353.55339059327366,True,0,298.33301164592774,True,0,"0.5","0.25","9","180","3","190","0.5","1","1","0.5","150","2","-5","10","-5","5","1","-1","0.1","160","330","15","500","150","97","100","540","150","15","700","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.15329409","1.00000000","0","0","0","0","0","0","0","0","0","0","0","0",:OK
result_2,False,0,3.585416960302733,False,3.085416960302733,395.0260232918555,True,0,353.55339059327366,True,0,298.33301164592774,True,0,"0.01","0.25525","9","180","3","190","0.25","0.25","1","0.5","150","1","-0.5","10","-6","0.5","4","-1","0.1","160","330","15","500","150","97","100","540","150","15","700","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.15329409","1.00000000","0","0","0","0","0","0","0","0","0","0","0","0",:OK
