Flight_Path,rear_wing_chord,fuse_length,Front_Rail_Length,Rear_Rail_Length,front_l_wing_offset,rear_l_wing_offset,front_wing_span,rear_wing_span,front_wing_load,rear_wing_load,rudder_wing_load,Vertical_Tube_Length,Mid_Tube_Length,railDownLen,railLowerLen,CargoMass,Requested_Vertical_Speed,Requested_Lateral_Speed,Requested_Vertical_Down_Speed,Requested_Lateral_Acceleration,Requested_Lateral_Deceleration,Requested_Vertical_Acceleration,Requested_Vertical_Deceleration,Landing_Approach_Height,Vertical_Landing_Speed_at_Ground,Q_Position,Q_Velocity,Q_Angular_Velocity,Q_Angles,Ctrl_R
9,150,150,180,150,330,540,500,700,15,15,10,160,190,97,100,0.5,-1,10,1,2,-5,-5,5,3,0.1,1,0.5,1,0.5,0.25
9,150,150,180,150,330,540,500,700,15,15,10,160,190,97,100,0.01,-1,10,4,1,-0.5,-6,0.5,3,0.1,1,0.5,0.25,0.25,0.25525
