GUID,AnalysisError,Interferences,mass,Mass_Requirement_Met,Mass_Error,bbox_x,bbox_x_Requirement_Met,bbox_x_Error,bbox_y,bbox_y_Requirement_Met,bbox_y_Error,bbox_z,bbox_z_Requirement_Met,bbox_z_Error,CargoMass,Ctrl_R,Flight_Path,Landing_Approach_Height,Q_Angles,Q_Angular_velocity,Q_Velocity,Q_position,Requested_Lateral_Acceleration,Requested_Lateral_Deceleration,Requested_Lateral_Speed,Requested_Vertical_Acceleration,Requested_Vertical_Deceleration,Requested_Vertical_Down_Speed,Requested_Vertical_Speed,Vertical_Landing_Speed_at_Ground,Average_speed_to_traverse_path,Battery_amps_to_max_amps_ratio_at_Max_Flight_Distance,Battery_amps_to_max_amps_ratio_at_Max_Speed,Distance_at_Max_Speed_(m),Flight_distance,Input_LQR_weights_Qp_Qv_Qav_Qang_R,Location_of_maximum_distance_error,Max_Flight_Distance_(m),Max_Hover_Time_(s),Max_Lateral_Speed_(m/s),Max_uc_at_Max_Flight_Distance,Max_wing_segement_load_ratio,Maximimum_error_distance_during_flight,Maximum_ground_impact_speed,Min_max_nontrim_signed_acceleration_error,Min_max_nontrim_signed_acceleration_error_Speed,Motor_amps_to_max_amps_ratio_at_Max_Flight_Distance,Motor_amps_to_max_amps_ratio_at_Max_Speed,Motor_power_to_max_power_ratio_at_Max_Flight_Distance,Motor_power_to_max_power_ratio_at_Max_Speed,Path_traverse_score_based_on_requirements,Power_at_Max_Flight_Distance_(W),Power_at_Max_Speed_(W),Spatial_average_distance_error,Speed_at_Max_Flight_Distance_(m/s),Time_of_maximum_distance_error,Time_to_traverse_path,Velocity_at_time_of_maximum_distance_error,
result_1,0,1,4.790054537100608,False,4.290054537100608,730.4799999999999,True,0,1218.1059201814533,True,0,404.06000000000006,True,0,"0.5","0.1","1","3","1","1","1","1","0.125","-0.125","19","-0.2","0.2","2","-1","0.1","19.0000000","2.85075177E-02","3.19405794E-02","32460.2773","19000.0195","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","34.5229988;0.00000000;-200.000000","33675.3281","0.00000000","27.0000000","0.938208759","1.63270152","1.25188881E-05","0.00000000","1.85451663E-05","35.0000000","0.768520892","0.852915883","0.769676566","0.854198456","550.000000","473.230804","572.787048","1.19894303E-05","25.0000000","1.81700003","1000.00098","19.0000000;0.00000000;0.00000000",
result_2,0,1,4.790054537100608,False,4.290054537100608,730.4799999999999,True,0,1218.1059201814533,True,0,404.06000000000006,True,0,"0.5","0.1","3","3","1","1","1","1","0.125","-0.125","19","-0.2","0.2","2","-1","0.1","19.0000000","2.85075177E-02","3.19405794E-02","32460.2773","3141.59302","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","498.396698;40.0091820;-250.000000","33675.3281","0.00000000","27.0000000","0.938208759","1.63270152","1.05179452E-05","0.00000000","1.85451663E-05","35.0000000","0.768520892","0.852915883","0.769676566","0.854198456","300.000000","473.230804","572.787048","9.47066019E-06","25.0000000","2.10800004","165.347000","-1.52034891;18.9390736;0.00000000",
result_3,0,1,4.790054537100608,False,4.290054537100608,730.4799999999999,True,0,1218.1059201814533,True,0,404.06000000000006,True,0,"0.5","0.1","4","3","1","1","1","1","0.125","-0.125","1","-0.2","0.2","2","-2","0.1","15.7693720","2.85075177E-02","3.19405794E-02","32460.2773","227.583572","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","0.00000000;0.00000000;-28.8640003","33675.3281","0.00000000","27.0000000","0.938208759","1.63270152","190.055176","0.00000000","1.85451663E-05","35.0000000","0.768520892","0.852915883","0.769676566","0.854198456","0.00000000","473.230804","572.787048","103.836891","25.0000000","14.4320002","14.4320002","0.00000000;0.00000000;-2.00000000",
result_4,0,1,4.790054537100608,False,4.290054537100608,730.4799999999999,True,0,1218.1059201814533,True,0,404.06000000000006,True,0,"0.5","0.1","5","3","1","1","1","1","0.125","-0.125","19","-0.2","0.2","2","-1","0.1","19.0110245","2.85075177E-02","3.19405794E-02","32460.2773","3386.92822","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","-36.7962875;-597.734863;-500.000000","33675.3281","0.00000000","27.0000000","0.938208759","1.63270152","0.351178080","0.00000000","1.85451663E-05","35.0000000","0.768520892","0.852915883","0.769676566","0.854198456","372.000000","473.230804","572.787048","0.175664544","25.0000000","130.492996","178.156006","-18.8565388;2.33043146;0.00000000",
result_5,0,1,4.790054537100608,False,4.290054537100608,730.4799999999999,True,0,1218.1059201814533,True,0,404.06000000000006,True,0,"0.5","0.1","9","3","1","1","1","1","0.125","-0.125","19","-0.2","0.2","2","-2","0.1","2.41880441","2.85075177E-02","3.19405794E-02","32460.2773","557.561035","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","1200.00000;500.002808;-100.000000","33675.3281","0.00000000","27.0000000","0.938208759","1.63270152","1204.15942","0.00000000","1.85451663E-05","35.0000000","0.768520892","0.852915883","0.769676566","0.854198456","0.00000000","473.230804","572.787048","173.341766","25.0000000","214.179001","230.511002","0.00000000;19.0000000;0.00000000",
result_6,0,1,4.291054537100608,False,3.7910545371006084,730.4799999999999,True,0,1218.1059201814533,True,0,404.06000000000006,True,0,"0.001","0.1","9","3","1","1","1","1","0.125","-0.125","19","-0.2","0.2","2","-2","0.1","1.92152715","3.19487788E-02","4.85872328E-02","27661.5879","3.60862803","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","0.00000000;0.00000000;0.00000000","33653.8711","0.00000000","35.0000000","0.894350469","2.69752288","0.00000000","0.00000000","-1.27165640E-05","33.0000000","0.648200810","0.711495876","0.649175525","0.712565780","0.00000000","526.964233","898.194519","0.00000000","28.0000000","0.00000000","1.87800002","0.00000000;0.00000000;0.00000000",
