vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_VERT_DIAMETER
capsule,9572.625307080274,9572.625307080274,9572.625307080274,50.00000000000001,4.518275134489662e-16,-43.10000000000001,96.81120177849488
capsule,11672.080763087086,11672.080763087086,11672.080763087086,50.00000000000001,-5.720997825909387e-16,-43.1,111.08779852679143
capsule,2495.23167277846,11649.797331450556,11649.797331450556,49.999999999999986,1.3741894008229895e-15,-43.09999999999999,91.86664539836859
capsule,2686.2854645290977,10247.038815606304,10247.038815606304,50.0,4.480002579476067e-16,-43.09999999999999,108.60460651004485
capsule,2600.2570576578664,12579.728660049193,12579.728660049193,50.0,7.688135293537479e-16,-43.10000000000001,108.74194112587404
capsule,15642.719309276496,15642.719309276496,15642.719309276496,50.0,1.2975921004469428e-15,-43.1,112.15734650712588
capsule,19128.50469570656,19128.50469570656,19128.50469570656,49.999999999999986,2.358936504257161e-16,-43.099999999999994,122.680192824199
capsule,2495.6389753575586,20304.37343168029,20304.37343168029,50.00000000000001,-1.3768310839725557e-15,-43.099999999999994,125.44935276940278
capsule,2376.7719251547255,19967.447894803132,19967.447894803132,49.99999999999999,5.809918365028807e-16,-43.1,108.09382775969272
capsule,2416.5402172376994,25078.621781025857,25078.621781025857,50.0,2.1896384365952756e-15,-43.10000000000001,111.32131991665752
capsule,2439.3895598631852,30203.866895265182,30203.866895265182,50.0,7.166300835694755e-16,-43.10000000000001,102.95988775079829
capsule,2344.8370151903214,26315.954090416064,26315.954090416064,50.000000000000014,1.8147439276335676e-15,-43.10000000000001,90.93261500905972
capsule,2434.620779412639,33915.18114604522,33915.18114604522,50.00000000000001,1.1396016850677347e-15,-43.100000000000016,100.50875402723123
capsule,2404.501981543817,33356.99081593736,33356.99081593736,49.99999999999999,2.989995125265435e-16,-43.099999999999994,84.27728557387961
capsule,2293.5477978506156,38025.429157557286,38025.429157557286,50.00000000000001,1.0160155454919286e-15,-43.10000000000001,69.37318996893335
capsule,2278.0513688850615,30802.323558875054,30802.323558875054,49.99999999999999,2.2003651186807189e-16,-43.099999999999994,67.62654165843605
capsule,30587.66109275744,30587.66109275744,30587.66109275744,50.000000000000014,-5.067130503615667e-16,-43.1,63.079366426874095
capsule,2235.7125694232654,24620.52611358812,24620.52611358812,50.0,1.3265633086308917e-15,-43.1,44.9408597538668
capsule,2263.4027620768866,20441.22530622121,20441.22530622121,50.000000000000014,3.7470190349054494e-16,-43.1,46.682326397368755
capsule,13875.46609936416,13875.46609936416,13875.46609936416,49.999999999999986,-6.064867369578686e-16,-43.09999999999999,62.76780182446213
capsule,12418.142947607543,12418.142947607543,12418.142947607543,50.00000000000001,2.3117264984923506e-16,-43.1,50.115094906723414
capsule,2292.355025855547,14983.582725997503,14983.582725997503,50.00000000000001,-3.119353364136048e-17,-43.10000000000001,68.5243384359606
capsule,2258.217535506178,16527.85055972192,16527.85055972192,49.99999999999999,-1.8500694721636896e-16,-43.1,55.04125998922619
capsule,2252.7129766645753,17532.666708142795,17532.666708142795,50.00000000000001,-6.080475763103918e-17,-43.10000000000001,44.39205440143846
capsule,2244.498199598434,20034.302777565437,20034.302777565437,50.00000000000001,5.370349958021938e-16,-43.09999999999999,54.55409773813976
capsule,15554.178166339532,15554.178166339532,15554.178166339532,49.99999999999999,2.6951270851729656e-16,-43.099999999999994,69.99520080112583
capsule,2287.0601715707658,15895.270469035644,15895.270469035644,50.00000000000001,-3.480547544750145e-16,-43.10000000000001,60.38762420861502
capsule,2310.4345656368596,15024.29039439633,15024.29039439633,50.0,-5.682951643386194e-16,-43.1,60.184556152482955
capsule,2274.6277224618843,18010.47439576168,18010.47439576168,49.99999999999999,-5.0768340525117686e-17,-43.099999999999994,47.449092552344524
capsule,2311.096770772617,20152.775014267343,20152.775014267343,50.000000000000014,7.527623636415946e-17,-43.1,58.680777416969214
capsule,2323.219004305992,21613.22409096118,21613.22409096118,49.99999999999998,-4.944487139291454e-16,-43.1,58.97392728714887
capsule,2304.715998256202,21103.357187571695,21103.357187571695,50.0,-3.055686424492489e-16,-43.1,39.780308690725036
