vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_VERT_DIAMETER
capsule,2704.1067080920143,7395.407472733765,7395.407472733765,50.00000000000001,-4.892256195188832e-16,-43.09999999999999,138.57803793681833
capsule,6506.019454055572,6506.019454055572,6506.019454055572,49.99999999999999,-4.542287033245297e-17,-43.099999999999994,144.10540278486383
capsule,6757.814479457737,6757.814479457737,6757.814479457737,49.999999999999986,-5.254454190319825e-16,-43.1,152.47797225020028
capsule,2672.116085852408,7577.953694871274,7577.953694871274,50.00000000000001,-4.31961236282735e-16,-43.10000000000001,169.10987080167558
capsule,2574.363385125143,8929.188451838903,8929.188451838903,50.0,1.5504039505613031e-15,-43.1,164.17369934776687
capsule,2491.966025545791,10234.9729504967,10234.9729504967,50.000000000000014,7.39980375882461e-16,-43.1,155.6266931748927
capsule,11878.44162336986,11878.44162336986,11878.44162336986,50.0,3.815687851991311e-16,-43.099999999999994,166.71045573244203
capsule,13203.169617477257,13203.169617477257,13203.169617477257,50.0,7.663573781620912e-16,-43.10000000000001,174.4844249749677
capsule,2464.6908880803503,17026.363932728473,17026.363932728473,49.99999999999999,1.6234775629495787e-15,-43.10000000000001,169.58252183021045
capsule,16849.95123271726,16849.95123271726,16849.95123271726,49.999999999999986,-3.043268110862172e-17,-43.099999999999994,172.50143142208896
capsule,2462.969130668071,18490.3866819043,18490.3866819043,50.0,-1.9287718739517198e-16,-43.1,187.36600038435054
capsule,2532.301488132372,17247.618044475625,17247.618044475625,50.0,-8.035177959016503e-16,-43.1,204.16359840789687
capsule,19842.756347155824,19842.756347155824,19842.756347155824,50.00000000000001,1.2390527801977473e-15,-43.10000000000001,185.5367857484379
capsule,2490.9783101511803,22390.229557100825,22390.229557100825,50.0,4.0102718996833423e-16,-43.099999999999994,184.92703380229466
capsule,2452.717842716151,27313.16436754592,27313.16436754592,49.99999999999999,8.323804548913779e-16,-43.100000000000016,182.59145218920509
capsule,26197.850000324925,26197.850000324925,26197.850000324925,49.999999999999986,-1.611067764385305e-15,-43.099999999999994,194.45747196133385
capsule,2604.693921652385,32654.727939838922,32654.727939838922,49.99999999999999,2.070001814409745e-15,-43.099999999999994,206.35660164501888
capsule,2506.207305968697,30050.664938900838,30050.664938900838,50.0,-1.459763272423218e-15,-43.099999999999994,192.10027663868397
capsule,2466.707893674787,28615.882244523207,28615.882244523207,50.00000000000001,-2.099203677005847e-15,-43.1,185.275641227873
capsule,24648.232427364703,24648.232427364703,24648.232427364703,50.00000000000001,-4.284384010514478e-16,-43.1,188.3878740623966
capsule,2483.3363037927525,21419.53787224636,21419.53787224636,49.999999999999986,1.5082956105487171e-15,-43.1,198.9735592479315
capsule,2476.2282003799346,20112.914391831608,20112.914391831608,50.00000000000001,-3.8075112684918435e-16,-43.10000000000001,201.63821858546535
capsule,2532.5166112624993,17016.02248165983,17016.02248165983,49.99999999999999,3.2650300364026445e-16,-43.1,193.6547511891242
