vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_TUBE_LENGTH,capsule_fuselage_HORZ_DIAMETER,capsule_fuselage_VERT_DIAMETER
capsule,2209.2033434149316,25687.012903325525,25687.012903325525,49.99999999999999,2.228946016730825e-16,-43.10000000000001,102.89924512221639,133.11013215599297,106.82521339312197
capsule,2766.3403194250163,29902.916606117677,29902.916606117677,49.99999999999998,3.400353857970126e-16,-43.09999999999997,109.60985052887423,146.37139925149737,119.81033317244558
capsule,3187.159488238132,29569.70832075387,29569.70832075387,50.0,6.727025954988041e-16,-43.10000000000001,105.79074719020403,164.10365705499797,116.37358848992466
capsule,3589.1524898392177,27400.17636411619,27400.17636411619,50.0,4.751145939450183e-16,-43.1,97.36625365867252,173.4481548418377,117.2167109833494
capsule,3057.39221570527,26410.537297250426,26410.537297250426,50.0,6.873298489106413e-16,-43.10000000000001,98.44324164552731,170.3746216187717,101.9371040204021
capsule,2491.5147756305046,26122.504618827195,26122.504618827195,50.00000000000001,9.987807081258445e-16,-43.1,101.87317885823776,152.205615861989,99.44326811955492
capsule,2523.7818671964033,25128.04980688479,25128.04980688479,50.0,1.43270684757656e-15,-43.099999999999994,98.93091889878716,139.97805037673797,111.7084174796333
capsule,19388.18138785781,19388.18138785781,19388.18138785781,49.99999999999999,2.215556737200803e-15,-43.099999999999994,81.15362280604074,144.330071663479,103.44513324419613
capsule,2297.3586630010445,21794.535656696993,21794.535656696993,50.00000000000001,1.7270296647293035e-16,-43.1,91.24622195345388,155.2119328004344,83.48520489225905
capsule,2203.763633804109,22377.94575955156,22377.94575955156,49.99999999999999,7.809601478299734e-16,-43.099999999999994,93.71916024891819,136.54805654248543,99.17215766922568
capsule,2783.206922440896,17966.72600377474,17966.72600377474,49.99999999999999,-2.2315027096827863e-16,-43.09999999999999,75.31721617143407,131.88624952735773,118.81081795024787
capsule,2839.0740027901556,23780.09830900767,23780.09830900767,50.0,6.166061466208879e-16,-43.099999999999994,92.7598163442326,139.42767462203614,121.97624180422234
capsule,2586.5269339492042,24676.243752108276,24676.243752108276,50.00000000000001,1.75898228670581e-15,-43.1,97.20259838914095,126.14186699848968,127.33719552052386
capsule,2569.215083440297,24927.66013297966,24927.66013297966,50.0,1.1770057052107505e-15,-43.099999999999994,98.03084757140937,119.52842523770559,133.61896244715905
capsule,2132.9747722414245,29663.90099066892,29663.90099066892,50.0,3.0406541056263297e-16,-43.1,113.7046150424575,104.67342670605086,136.26126499855897
capsule,2065.3740677356745,31779.657495346633,31779.657495346633,50.00000000000001,6.993238729502751e-16,-43.10000000000001,119.31560952754896,91.58658796728068,148.414373783829
capsule,2655.6415695085393,26311.097757989377,26311.097757989377,49.99999999999999,-5.09813715273003e-16,-43.1,101.13474136079319,96.65098904748392,161.3853263640786
capsule,2374.8427162162848,29812.51233595247,29812.51233595247,50.0,-5.2229450179712234e-17,-43.099999999999994,112.25163436866224,103.00915181072139,148.10723363430077
capsule,2434.7241261734353,25395.07099886466,25395.07099886466,50.00000000000002,1.1922730108613022e-15,-43.10000000000001,100.34731925925239,87.31060832712399,161.29067650747817
capsule,2472.982551345084,25637.53306906672,25637.53306906672,50.00000000000001,3.5139133288008106e-16,-43.10000000000001,100.709537896962,85.87577884380316,164.48939395762105
capsule,3037.644070315182,32024.285504815765,32024.285504815765,49.999999999999986,-1.4514902082613703e-16,-43.10000000000001,112.91025106917465,98.76105907193995,179.34597541278933
