vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_TUBE_LENGTH
capsule,11944.003624844907,11944.003624844907,11944.003624844907,50.0,7.174379225012647e-16,-43.099999999999994,102.6433603800899
capsule,2592.7200778589186,9307.149345690153,9307.149345690153,50.000000000000014,5.829881635202478e-16,-43.1,85.3037398706313
capsule,2625.8071905762285,8218.50500167012,8218.50500167012,50.00000000000001,-7.485114955662286e-17,-43.1,76.66148741124827
capsule,2582.5941845600714,9699.409214359848,9699.409214359848,49.999999999999986,9.328619070738025e-16,-43.099999999999994,88.16689726008086
capsule,2530.9108885207065,12310.134535406056,12310.134535406056,50.00000000000001,1.141192233380198e-15,-43.100000000000016,104.75521950510205
capsule,2501.7665890895087,14427.4841827281,14427.4841827281,50.0,-9.073654664487754e-17,-43.10000000000001,115.94042934911292
capsule,2540.1536928906326,11752.424598350959,11752.424598350959,50.000000000000014,-4.710512988858617e-17,-43.10000000000001,101.51407559050327
capsule,2555.4565380193435,10925.05729103224,10925.05729103224,50.0,-7.735969259344412e-16,-43.099999999999994,96.42826059937593
capsule,2579.2327139497584,9836.781106213375,9836.781106213375,49.999999999999986,7.724546727641934e-16,-43.1,89.14232503380852
capsule,2542.6641003898335,11608.874265219005,11608.874265219005,50.00000000000001,1.6912298055572321e-15,-43.10000000000001,100.65650436015206
capsule,2589.2888423278946,9436.571194262719,9436.571194262719,49.99999999999999,4.2129922932452784e-16,-43.099999999999994,86.26157778989156
capsule,10332.58569749719,10332.58569749719,10332.58569749719,49.99999999999999,4.1332109015919866e-17,-43.10000000000001,92.55436182786792
capsule,2642.2937448440125,7766.839803971464,7766.839803971464,49.99999999999999,2.9592068584673747e-16,-43.099999999999994,72.71628092296167
capsule,2600.1547465589247,9038.30138651483,9038.30138651483,50.00000000000001,1.091084734944487e-15,-43.10000000000001,83.27019680338613
capsule,2547.7112616444915,11329.840941379874,11329.840941379874,50.00000000000001,6.764887102717047e-17,-43.1,98.9605162812808
capsule,2496.8471139696876,14849.814892845718,14849.814892845718,50.0,8.267465616478196e-16,-43.100000000000016,117.9919123174374
capsule,2526.0829394677567,12620.995182171138,12620.995182171138,50.0,1.0775666757309747e-16,-43.10000000000001,106.50293088471663
capsule,2493.42617929225,15156.562669862245,15156.562669862245,50.0,1.3691027749309725e-15,-43.10000000000001,119.44955199045695
capsule,2514.6495782575707,13416.733208711525,13416.733208711525,50.00000000000002,1.1134367269812096e-15,-43.10000000000001,110.80226373771362
capsule,2471.179989852225,17455.86148557305,17455.86148557305,49.99999999999999,1.3059931773069547e-15,-43.10000000000001,129.61546545205456
capsule,2494.615987444275,15048.617899495785,15048.617899495785,50.000000000000014,1.0372599395944474e-15,-43.1,118.93962657659844
capsule,2484.246647220775,16037.313518752,16037.313518752,50.0,1.827639347194109e-15,-43.10000000000001,123.49403165982511
capsule,2455.6540194314944,19448.550193723913,19448.550193723913,50.0,-5.493800410236899e-16,-43.1,137.52405816444025
capsule,2474.318618943193,17095.675400500826,17095.675400500826,50.00000000000001,4.479348738679885e-17,-43.10000000000001,128.10345418971804
capsule,17278.747274272722,17278.747274272722,17278.747274272722,50.00000000000001,1.0315001335482323e-15,-43.1,128.87538545765344
capsule,2498.2053586844822,14731.046376796803,14731.046376796803,50.00000000000001,1.132129252425889e-15,-43.1,117.4203184184145
capsule,2456.915560390221,19272.225706913447,19272.225706913447,49.999999999999986,6.359330771986709e-16,-43.1,136.8530380875923
capsule,17571.622074997293,17571.622074997293,17571.622074997293,50.0,4.778317414610285e-16,-43.099999999999994,130.09566530817284
capsule,2451.4275508410533,20060.03192506035,20060.03192506035,49.99999999999999,6.224758953290555e-16,-43.10000000000001,139.81163654381137
capsule,20776.69890971669,20776.69890971669,20776.69890971669,50.00000000000001,-5.304996533913741e-16,-43.10000000000001,142.41851475892594
capsule,2429.9049414080982,23760.492323442162,23760.492323442162,50.0,2.9157827348204826e-15,-43.10000000000001,152.51840622307137
capsule,2447.814154794195,20609.555378229932,20609.555378229932,50.0,1.0115471691947219e-15,-43.1,141.81742172291857
capsule,19814.888042949267,19814.888042949267,19814.888042949267,49.99999999999999,3.993417206638346e-16,-43.1,138.9017681794754
capsule,19711.66904666448,19711.66904666448,19711.66904666448,50.0,1.5465828151200152e-15,-43.1,138.5157964978438
capsule,2430.532973693176,23636.270685715055,23636.270685715055,49.99999999999999,7.355713783942258e-16,-43.1,152.11971570127366
capsule,2405.4222940635455,29647.98878397858,29647.98878397858,50.0,-6.650348318138341e-16,-43.099999999999994,169.6922782146193
capsule,2404.778754498362,29836.01623513858,29836.01623513858,49.99999999999999,9.665215374580189e-16,-43.1,170.19287564999863
capsule,2511.796037523699,33695.95986077463,33695.95986077463,50.00000000000001,1.1798876055681518e-15,-43.10000000000001,179.9437641329463
capsule,2408.566959388991,28757.858289117205,28757.858289117205,50.000000000000014,-1.097650958498479e-15,-43.10000000000001,167.28670738252197
capsule,2430.048237415897,23732.050696250946,23732.050696250946,50.00000000000001,2.9112517170876815e-15,-43.10000000000001,152.42727595820637
