vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_TUBE_LENGTH,capsule_fuselage_HORZ_DIAMETER,capsule_fuselage_VERT_DIAMETER
capsule,24307.22969639452,24307.22969639452,24307.22969639452,50.0,2.398749145074974e-15,-43.100000000000016,97.02181417219492,164.46622056494283,84.4391724522216
capsule,28467.324182264423,28467.324182264423,28467.324182264423,50.00000000000001,5.095478829873079e-16,-43.100000000000016,107.23047162876759,181.97199184849552,76.28556102889644
capsule,2625.8068052575754,22573.855632181043,22573.855632181043,49.99999999999999,1.2332527619955992e-15,-43.1,90.91518077267396,163.22789393628466,88.94751141165601
capsule,22829.99558107863,22829.99558107863,22829.99558107863,50.00000000000001,1.1698871982260148e-15,-43.10000000000001,92.09227752718677,174.3276669669318,76.1687272302827
capsule,3316.9713104419193,27204.42084930379,27204.42084930379,50.0,1.212018637409727e-15,-43.1,98.72735828161697,191.69701115064876,90.16914975584342
capsule,31274.90747921135,31274.90747921135,31274.90747921135,50.0,1.2804480760423086e-15,-43.10000000000001,108.31888095946371,184.8871190904772,105.86541861405678
capsule,31310.967830113917,31310.967830113917,31310.967830113917,50.0,2.277602799178519e-15,-43.10000000000001,112.44223779676892,181.9665333879757,88.99108099561911
capsule,2272.7812550271287,33262.63372668389,33262.63372668389,49.99999999999999,1.8984168564585872e-15,-43.1,121.2614060066167,168.52657338551595,81.74085328953025
capsule,1761.8476661543002,28502.698431622975,28502.698431622975,50.000000000000014,2.8026860139971825e-17,-43.1,113.71177023810736,149.52706535575803,73.4451705953977
capsule,1970.3499746935431,26757.7557787454,26757.7557787454,50.00000000000001,-9.29851050386114e-16,-43.1,107.6215011642989,142.0880033853477,88.79106756074415
capsule,25004.708330162794,25004.708330162794,25004.708330162794,50.000000000000014,-1.2782552326685762e-16,-43.100000000000016,96.46015962612216,157.31241199154482,104.48015320907581
capsule,2112.7735632785207,27009.93402441177,27009.93402441177,50.0,1.172455754245957e-15,-43.1,107.14985745205918,148.55232979235564,88.79724837206163
capsule,2115.4668501022884,23920.90790350864,23920.90790350864,49.99999999999999,3.5141808983234083e-16,-43.099999999999994,98.824818516844,145.86599220087456,88.11806962341868
capsule,2565.222478880601,32721.68909527711,32721.68909527711,50.0,1.244560903759481e-15,-43.1,117.89504546407561,154.6131246170076,106.90454725611511
capsule,2350.1273010887626,30966.08976553363,30966.08976553363,49.999999999999986,2.4747717354637905e-15,-43.09999999999999,115.25843690364187,139.13803548391127,112.13931731371758
capsule,28966.644990871002,28966.644990871002,28966.644990871002,50.0,1.2317804779797595e-15,-43.1,112.6279483934406,129.5278051234596,107.03639230490009
capsule,2239.9583340379645,25475.04874426591,25475.04874426591,49.999999999999986,1.1584205414173057e-15,-43.099999999999994,102.08641715912478,145.58230612089827,95.37198511692252
capsule,25633.444819321187,25633.444819321187,25633.444819321187,49.99999999999999,1.1515506045524313e-15,-43.099999999999994,108.53801984570106,131.666240435914,75.43402488376336
capsule,1433.4214068171918,25372.166337871327,25372.166337871327,49.999999999999986,7.309765653170997e-16,-43.099999999999994,108.4224131075799,118.95157711451367,84.31439359087031
capsule,1354.133377242405,22680.54003128029,22680.54003128029,50.0,-1.0031183769335445e-15,-43.10000000000001,101.86091270605064,130.40836486585724,65.82748766739358
capsule,1292.039471510736,23188.479360218564,23188.479360218564,49.99999999999999,-6.4690798001944785e-16,-43.099999999999994,103.81121231783307,121.96407484121974,71.31441079926377
capsule,1075.0415165879792,25380.334605377822,25380.334605377822,50.0,-3.640181573744983e-16,-43.1,111.4819256066843,122.12454834006425,60.04946706115758
capsule,1125.2101111839834,33659.87542378785,33659.87542378785,50.0,4.731324241227153e-16,-43.10000000000001,130.54773844648133,137.599616931654,54.151671455360926
capsule,1398.4833412101007,43437.6027654595,43437.6027654595,50.0,-1.5402461053170272e-16,-43.10000000000001,148.63153818661863,154.58685345509195,60.21822610929837
capsule,1435.1420171310444,40222.72970310636,40222.72970310636,49.999999999999986,5.951798764744131e-16,-43.09999999999998,142.12397389704844,161.183307845991,53.76704597808913
capsule,1571.7530322058299,47707.476992045835,47707.476992045835,49.99999999999999,2.30996108359701e-15,-43.10000000000001,155.5573273595894,171.3962134995303,55.739844989593315
capsule,37490.692165119835,37490.692165119835,37490.692165119835,50.000000000000014,6.342216275803589e-16,-43.10000000000001,137.01789369344368,154.06851575657572,55.11968079904599
capsule,1372.3865944527972,43605.6987359388,43605.6987359388,49.99999999999999,-7.575079322773469e-16,-43.10000000000001,150.67566869683787,134.20083848308073,61.77565599969356
capsule,1430.8134146787006,48882.3565746043,48882.3565746043,50.0,-1.1102584349761635e-15,-43.1,159.9553035663044,130.12102631947116,71.72909546039513
capsule,1680.5648095102065,54668.759653353634,54668.759653353634,49.99999999999999,-5.947919651725546e-16,-43.100000000000016,168.86450704254784,138.96910139358639,78.5761535098977
capsule,1411.246309950094,50013.99900648524,50013.99900648524,50.00000000000001,1.3825303581180717e-15,-43.1,160.58768405943815,130.3623417476307,88.84864857317012
capsule,43539.05298925814,43539.05298925814,43539.05298925814,50.0,1.2043439833377885e-15,-43.099999999999994,147.41985228012487,119.80079992120812,107.70970781944241
capsule,47956.22951182156,47956.22951182156,47956.22951182156,50.00000000000002,1.529636251885543e-15,-43.10000000000001,154.44370846827252,131.78705822855585,109.30759246500836
capsule,1676.5638048859291,45239.22931560722,45239.22931560722,49.99999999999999,4.92380335040406e-16,-43.099999999999994,150.34145412320902,128.54953960798545,102.77462567973129
capsule,2086.8437993385955,48419.376547592765,48419.376547592765,50.00000000000001,1.197145286358616e-15,-43.1,153.7620548294842,141.27496180054837,112.24145457995837
capsule,2362.1212996718546,60714.02368371556,60714.02368371556,49.999999999999986,-2.4397040642710892e-15,-43.1,173.56563149982884,141.75747892686397,131.34789494377367
capsule,2039.8823562031046,60441.33818822975,60441.33818822975,50.0,1.7955941564275745e-15,-43.1,174.83896779528698,140.60471944997028,117.50507168611
capsule,53969.58528331337,53969.58528331337,53969.58528331337,50.0,2.77409397020392e-15,-43.10000000000001,160.6222855548193,155.96219242307555,124.15876683464964
capsule,2684.537522166643,54078.57399509621,54078.57399509621,50.00000000000001,3.334679269835747e-15,-43.10000000000001,160.442835364538,142.9828702372384,139.7884799116984
capsule,2264.5515899874963,61341.4882528335,61341.4882528335,49.999999999999986,-1.1996904329093489e-15,-43.09999999999999,175.11271411427668,146.35386331282677,122.72705520262635
capsule,1897.1244380848923,59751.48395333362,59751.48395333362,50.0,1.3388797282337389e-15,-43.10000000000001,174.46232495463912,146.810162335251,103.90516326199223
capsule,60198.96264574036,60198.96264574036,60198.96264574036,50.00000000000001,7.639274182650398e-16,-43.10000000000001,172.9139994241248,149.53214593478341,121.70419672604433
capsule,2553.940659030606,72757.1546611705,72757.1546611705,50.0,-7.077264576276191e-16,-43.10000000000001,191.3549697424992,148.80190170966796,138.73622350774144
capsule,3016.807602519637,80688.29810565201,80688.29810565201,49.99999999999999,3.4898516491624003e-15,-43.1,200.66268180724038,168.05882802126663,142.1603503148877
capsule,2555.86576183316,86924.90339780065,86924.90339780065,49.99999999999999,-1.6446490277154592e-15,-43.099999999999994,211.29147630184588,159.08545108228867,134.73137146804712
capsule,3020.1311773263865,80377.217111294,80377.217111294,50.000000000000014,2.0286960649358147e-15,-43.10000000000001,200.2057093036483,166.3676986982143,143.83761469239215
capsule,76958.7581139351,76958.7581139351,76958.7581139351,50.0,1.5480393026530831e-15,-43.10000000000001,195.17317849628407,175.99615519827526,133.5100179460972
capsule,2962.936931618084,66367.35532841895,66367.35532841895,50.00000000000001,-1.1697555278009115e-16,-43.10000000000001,179.4820065882315,184.41132891677907,116.52410988842502
capsule,60911.09858180938,60911.09858180938,60911.09858180938,49.99999999999998,3.019612051480511e-15,-43.099999999999994,165.830649401736,196.40134899536642,132.23991904851297
capsule,69208.01247941946,69208.01247941946,69208.01247941946,50.0,1.4506520523734366e-15,-43.100000000000016,178.3723218183099,194.67901497275471,145.8145446972728
capsule,4772.2390985574175,69812.20015175172,69812.20015175172,50.00000000000002,3.688881951397829e-15,-43.10000000000001,175.66081345966697,198.6140417997334,164.3101761928161
capsule,4408.371724451627,67711.3151158736,67711.3151158736,49.99999999999999,-2.069839586205672e-16,-43.099999999999994,174.11888485532558,188.38957503689232,162.46605930522728
capsule,56454.73675707669,56454.73675707669,56454.73675707669,49.999999999999986,3.3555490172757947e-15,-43.099999999999994,156.01165573871123,189.23818587364292,148.1068534414684
capsule,4718.864456177984,53855.57363405726,53855.57363405726,49.99999999999999,2.598913728322546e-15,-43.1,148.5158295185124,188.83925102351682,161.3088663353265
capsule,3474.26086890828,54903.107090995116,54903.107090995116,50.0,2.323825818359064e-15,-43.1,157.35854156530667,169.76464639480702,142.704035817534
