vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_TUBE_LENGTH
capsule,2493.61977524404,15138.906008593567,15138.906008593567,50.0,1.2498764874123463e-15,-43.1,119.36636415542438
capsule,2453.9239491198227,19694.923707937043,19694.923707937043,49.99999999999999,7.598270048316302e-17,-43.099999999999994,138.45301771018302
capsule,2435.5919252290696,22674.91832760285,22674.91832760285,50.0,1.2711008042238476e-15,-43.1,148.97371989120768
capsule,2463.1305640014975,18442.435763124817,18442.435763124817,50.0,7.371925932667481e-16,-43.10000000000001,133.62284897277965
capsule,2499.3491610871292,14632.32470134285,14632.32470134285,50.0,4.007281019419669e-16,-43.10000000000001,116.94206169161689
capsule,2546.3554319659765,11403.572860023161,11403.572860023161,50.000000000000014,1.0678408959620376e-15,-43.10000000000001,99.4124769909965
capsule,11866.336831509421,11866.336831509421,11866.336831509421,50.0,1.3008913816691548e-15,-43.10000000000001,102.18760703916915
capsule,2513.8378867288243,13476.652142797557,13476.652142797557,50.0,7.057645364293107e-16,-43.100000000000016,111.11648276153572
capsule,11826.527221317829,11826.527221317829,11826.527221317829,50.000000000000014,6.097308481865949e-16,-43.100000000000016,101.95291659527692
capsule,2510.159783850953,13754.272325244663,13754.272325244663,50.000000000000014,1.198050254402625e-15,-43.100000000000016,112.55597192320765
capsule,2501.921979473937,14414.4909741298,14414.4909741298,50.0,1.9807992633308625e-15,-43.1,115.87646594341477
capsule,14673.14483905926,14673.14483905926,14673.14483905926,50.0,1.5430515820795993e-15,-43.1,117.14016340863276
capsule,2507.3638639329843,13972.218083388616,13972.218083388616,50.0,1.203160029144101e-15,-43.10000000000001,113.66770917490159
capsule,2559.6508923984807,10716.929090821026,10716.929090821026,50.00000000000002,1.005737858213323e-17,-43.10000000000001,95.09105533136199
capsule,11142.386897773724,11142.386897773724,11142.386897773724,49.99999999999999,2.5425206633083734e-15,-43.099999999999994,97.798754138496
capsule,10548.501975173433,10548.501975173433,10548.501975173433,50.000000000000014,1.7297748891814152e-16,-43.100000000000016,93.99046509924375
capsule,11850.283772170636,11850.283772170636,11850.283772170636,49.99999999999999,6.369966748448455e-16,-43.099999999999994,102.09305810945055
capsule,2602.3899508601476,8960.435495561964,8960.435495561964,49.99999999999999,-5.552892658422166e-16,-43.099999999999994,82.6697119851473
capsule,8142.742669824198,8142.742669824198,8142.742669824198,50.0,-1.126008082823947e-15,-43.10000000000001,76.01617148742017
capsule,2675.211671093764,7004.737458706137,7004.737458706137,49.99999999999999,2.1917530238273654e-16,-43.10000000000001,65.4521791126826
capsule,2688.158290415383,6747.448550678763,6747.448550678763,50.00000000000001,-1.1422450608471822e-16,-43.100000000000016,62.795198860354255
