vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_FLOOR_CONNECTOR_2_DISP_LENGTH
capsule,9894.562747808493,9894.562747808493,9894.562747808493,50.00000000000001,8.543891838076576e-16,-43.10000000000001,-2.4352210834613697
capsule,2618.4232244517057,8438.752190820662,8438.752190820662,50.0,-4.1421027471871097e-16,-43.1,9.875952178406642
capsule,2646.7985605629756,7652.244669925558,7652.244669925558,50.0,7.271907582792124e-16,-43.1,0.250525022168274
capsule,2668.087010010251,7155.791697682554,7155.791697682554,50.000000000000014,-7.212707308027996e-16,-43.100000000000016,11.354540653912984
capsule,2676.604635036938,6976.015314308663,6976.015314308663,50.0,-7.411851588331428e-16,-43.1,19.245966886753166
capsule,7223.959056618952,7223.959056618952,7223.959056618952,50.0,3.2525096314147944e-16,-43.100000000000016,9.785380478612275
capsule,2763.504349800204,5594.218821859154,5594.218821859154,50.0,9.141922271529025e-16,-43.10000000000001,-4.121382967628378
capsule,2701.909336699646,6496.301855639345,6496.301855639345,50.00000000000001,1.0266466901696412e-15,-43.10000000000001,-21.45154704531501
capsule,2729.094139632569,6057.886896580007,6057.886896580007,49.99999999999999,9.209973692567404e-16,-43.100000000000016,-19.005537164691297
capsule,2713.5547747819883,6299.673322029589,6299.673322029589,50.00000000000001,4.792299941553298e-16,-43.10000000000001,-30.865748580166503
capsule,2758.8985306665204,5651.169238129323,5651.169238129323,49.999999999999986,1.254786260005816e-15,-43.1,-38.73064894629383
capsule,2756.738367858719,5678.3874073303405,5678.3874073303405,50.0,4.374842914027521e-16,-43.10000000000001,-39.289516717158584
capsule,2762.8086275093287,5602.728163955264,5602.728163955264,49.999999999999986,6.112941911762268e-16,-43.100000000000016,-52.11170026117684
capsule,5886.495184419869,5886.495184419869,5886.495184419869,49.99999999999999,-2.4389609108533553e-16,-43.099999999999994,-55.86914089997769
capsule,6449.214125939608,6449.214125939608,6449.214125939608,50.0,-1.2845222068834964e-16,-43.099999999999994,-36.31777330241896
capsule,8120.987093477909,8120.987093477909,8120.987093477909,50.00000000000001,-9.459027311682357e-17,-43.10000000000002,-30.62633101642215
capsule,2571.463656174845,10168.990517308697,10168.990517308697,49.999999999999986,2.19622080068005e-16,-43.09999999999999,-13.104363010586692
capsule,2634.8181593715576,7965.125328370163,7965.125328370163,49.99999999999999,-9.502308928276955e-16,-43.1,-5.017558723214552
capsule,2641.07018858262,7798.5883363075,7798.5883363075,50.000000000000014,-1.637578727409803e-16,-43.10000000000001,-13.262839591052398
capsule,2641.301054898089,7792.57715350307,7792.57715350307,50.00000000000001,-6.489605232620017e-16,-43.10000000000001,-11.354208598086064
capsule,2592.262839380624,9324.195595839716,9324.195595839716,50.0,1.0075188977489334e-15,-43.1,-7.158399583170154
capsule,2538.9104870756796,11824.726841547277,11824.726841547277,50.00000000000001,6.285573413493255e-16,-43.1,-13.146484048734305
capsule,2528.7725036654824,12446.086539525517,12446.086539525517,50.000000000000014,1.1056835165133687e-15,-43.100000000000016,6.327318762035478
capsule,2521.11994293205,12955.685002044876,12955.685002044876,50.0,6.708823378282847e-16,-43.10000000000001,-11.628219248656148
capsule,15719.02228454174,15719.02228454174,15719.02228454174,50.00000000000001,9.559312131889066e-16,-43.1,-31.1054460763878
capsule,2488.6052840388247,15608.217744311934,15608.217744311934,49.999999999999986,2.0221200147036082e-15,-43.10000000000001,-23.467968133746268
capsule,2448.725055648018,20468.605491804283,20468.605491804283,49.999999999999986,7.444791067730484e-17,-43.099999999999994,-21.07052619985141
capsule,2452.3139126856495,19929.07334243545,19929.07334243545,49.99999999999998,-6.315064047688111e-16,-43.1,-37.598919268462225
capsule,23852.58875962788,23852.58875962788,23852.58875962788,50.0,2.540917474268804e-15,-43.10000000000001,-57.53805164581915
capsule,2406.4665718864017,29347.18869645548,29347.18869645548,49.99999999999999,5.096514133914995e-16,-43.1,-42.33748281282837
capsule,2414.5538111702745,27185.01073784244,27185.01073784244,50.0,-1.6909887550564082e-15,-43.10000000000001,-44.625747669926106
capsule,2412.9441273756834,27593.112077707414,27593.112077707414,50.0,-2.0987607448085233e-16,-43.1,-36.82411156224428
capsule,2399.3646487223295,31503.073742882596,31503.073742882596,49.99999999999999,-5.479903431264672e-17,-43.1,-41.0227536223368
capsule,2511.3475422972847,33857.81274888698,33857.81274888698,50.0,1.9622403912137533e-15,-43.099999999999994,-25.605416415199997
capsule,2503.6390762356946,36888.476881972405,36888.476881972405,49.99999999999999,1.0107367696677189e-15,-43.099999999999994,-13.917265930817264
capsule,2514.121905289369,32879.40361051654,32879.40361051654,49.99999999999999,1.6874593240959111e-15,-43.10000000000001,-15.919923679985096
capsule,2512.0678435480395,33598.57712108599,33598.57712108599,50.000000000000014,1.5645937835791266e-15,-43.1,2.4519045877832575
capsule,27588.52991031686,27588.52991031686,27588.52991031686,50.0,2.2155337435796517e-16,-43.099999999999994,-10.759016510729351
capsule,2402.2450793688686,30596.698978294487,30596.698978294487,49.99999999999999,-6.775957332205386e-16,-43.10000000000001,-9.1048316408889
capsule,38764.32907864057,38764.32907864057,38764.32907864057,49.99999999999999,8.591453802092575e-16,-43.099999999999994,-8.248157656958238
