vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,capsule_fuselage_BOTTOM_CONNECTOR_OFFSET_LENGTH
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,16.501322532815554
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,19.688547116375528
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,31.640906931965894
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,20.070034753238247
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,10.984476005903739
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,5.31125132369396
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,1.2364350598814982
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,-7.1276537463015055
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,2.106880609095289
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,0.061583512964568765
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,-5.420335262153085
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,-3.4345681005876787
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,11.80242198221677
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,28.739326434738565
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,45.95443533811757
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,60.798187181918486
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,78.5574480861136
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,88.3377026001996
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,90.34738891188849
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,73.01335196532847
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,91.23609968002056
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,92.5224945033832
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,78.97607488065398
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,63.87486972977599
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,78.58435761824146
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,86.18368184919373
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,98.03274732692464
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,87.2296534466653
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,98.74668332019698
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,84.00517025666963
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,81.56331202904008
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,64.00938991376356
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,77.50718043785565
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,61.28086791635474
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,69.36798560336472
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,78.1100945650766
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,82.60435855176941
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,94.63739743035937
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,75.98542349849838
capsule,2544.604726436472,11500.100009576325,11500.100009576325,49.999999999999986,9.946214129717654e-16,-43.099999999999994,81.80391506529733
