vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,leg_3_LENGTH,leg_2_LENGTH,arm_1_LENGTH,arm_4_LENGTH,leg_4_LENGTH,arm_2_LENGTH,leg_1_LENGTH,arm_3_LENGTH,prop_3_DIAMETER,prop_4_DIAMETER,prop_2_DIAMETER,prop_1_DIAMETER
quad,15814.574509603663,23510.933503819386,22605.623679948025,23.79646274666316,2.4298625733775934,11.151880766247016,96.48199102261532,88.61592611877435,223.27820889718004,227.1626644551167,100.06959040231753,205.11414469753868,98.1167151688986,206.45420295834333,190.5975456709649,191.35167135119212,186.0871495966281,179.90929534218165
quad,15289.779113066737,23620.946241742236,22394.57264744674,22.480915899474446,4.620418150104844,7.80269230268744,79.67301990968363,86.80366925693455,203.39718044385432,228.9082338309857,82.10312664832303,198.6575521079095,87.2417503193258,213.5894769363403,182.5899453354175,180.71975006033625,174.6220864854122,179.3237080169008
quad,14786.353763853956,23077.34723233542,22267.98006533463,28.805235808435413,6.379164801604611,5.810927419211646,65.0931531508846,76.97750230577765,202.38336907906347,227.39143903394526,69.04079789660481,207.91120238262033,101.46864827112353,196.3599243907373,201.70374969216485,185.17261529767313,181.36978544684177,181.08493947858608
quad,15068.191377416144,23010.09048234885,21945.537375375054,29.071724264768175,10.669271259804425,7.270718399038096,47.2667060570919,86.27817105820155,219.92497331631628,215.69418839669873,85.47301454508263,189.16659816898024,100.82355662416605,182.0332309836437,217.39647154668103,197.8094618936393,173.1182716667889,193.95633396694603
quad,15118.577702104265,23309.777628875025,21718.501690182067,30.91931750311984,17.605567826604172,8.89131093080466,40.3092972268529,99.36663820560004,202.80471628697146,200.67763095321868,84.8216345448146,192.45787164861474,116.61614351598683,191.61581790532176,232.0682007507526,199.40762745057373,175.0352837609342,196.26489753707364
quad,15680.311006632197,23529.380341481712,21521.849717583915,31.53313636474331,13.65541271971531,10.60786691082644,32.57252153288749,87.39323182597352,184.26799605756153,200.89705753375807,102.84108044702286,211.8261492828018,128.90981742369607,173.9042402450056,230.9969551334607,205.9632433488738,159.64586393606461,205.07280177106625
quad,15651.599742749242,23436.895843813847,21295.681982765225,30.84158909114533,6.214803173598479,9.909226405349049,45.55450267083666,68.49705321070863,173.1645122038947,186.10011365645903,120.07348758186258,208.9723433128911,115.5914717046408,183.60947561080698,249.96002579296436,208.6116452426197,146.2923562192812,223.092742899131
quad,15703.138146510577,23724.116543839616,21146.697831985326,29.475158682058073,9.05093308895534,11.022851421976062,53.3512361322516,84.65852237278303,178.35392510358835,169.03312319421994,132.38393851239329,227.16347187425788,105.94218348504464,164.5212120431174,247.9745977223938,223.2600075625317,142.06928444885511,217.9433254907219
quad,16233.80115700046,23864.42537025926,21193.177590483414,21.417266354428342,8.408312200582287,11.26754507231294,44.282140139054995,99.18828639512583,172.31182301873739,168.501301249206,135.1794012569643,227.794312427513,90.63858507170998,174.4346563618364,252.0313450410669,233.97648310539972,139.61222618192588,231.89974272579553
quad,16592.614110336533,23880.334493518676,21518.07934041542,17.807154420284316,7.651208711536703,12.600697288209265,41.552226013911955,114.10031700170029,152.84655685007394,183.1100992406217,143.2872843312709,240.9671888202668,82.6372771413269,193.39554960099946,252.0644903466418,234.6591314286428,141.21994756981778,245.37977967111732
quad,15709.60285618719,23240.561736699867,20945.63000492178,18.92972814469183,6.281521760116502,9.191638221264295,30.134138085366615,111.19430546482779,136.3834282541753,172.08332402422147,128.1547284044919,222.07576781132462,75.28437181947449,191.74571000017426,259.9095321853016,239.4322043716013,121.61579340996927,230.37338051535784
quad,15710.228614220181,23516.021290474328,20796.43913058186,18.92680831886801,11.83458276358475,9.10727642689726,20.60205397856201,103.05536435547313,123.71395386066162,179.55783149789207,112.15650442595893,210.31903285317807,93.48161932305138,196.18935766852152,274.65817222023105,242.7321170844238,109.56979292304345,242.08958191844275
quad,15539.149110949103,23269.475500763823,20168.706304486783,18.753134948844973,13.376907844434118,11.071005185177016,4.702068984675343,110.01760243430168,103.74406177362228,160.93381660936095,123.33099349939683,200.01746019185387,101.91042828451252,191.9429627316986,283.77419208633705,238.34398881579418,93.31083208405607,232.4028140394589
quad,15320.895605150725,23210.5724256544,20161.596563876923,20.587396406130786,12.688010911141289,10.080492153121368,14.674579700279345,101.96156975104505,89.43912694423435,173.44925648233968,121.93853293260035,199.52598757050652,99.95140477283391,193.5193090526903,267.4742876399174,252.50951953861792,93.9326322602518,243.95927644727644
quad,15321.523628138375,23039.511995761186,19663.32318493756,20.905507778551033,13.036324928863918,11.534811961815302,-4.877062178232585,104.275402953581,81.85428891838045,153.76892676867217,133.67525994426657,191.77407926167228,102.45292854188679,186.44334724415683,263.5857228960349,253.99154915522593,96.07147199569562,254.64261113650426
