vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,leg_3_LENGTH,leg_2_LENGTH,arm_1_LENGTH,arm_4_LENGTH,leg_4_LENGTH,arm_2_LENGTH,leg_1_LENGTH,arm_3_LENGTH,prop_3_DIAMETER,prop_4_DIAMETER,prop_2_DIAMETER,prop_1_DIAMETER
quad,15097.122575754644,23265.55089905253,23322.073607556576,27.12077858161947,9.345610910376966,7.051928395289425,80.16814558551934,83.25462550824456,231.23029531373587,228.53522778559406,78.1479365744125,239.73796473348776,93.01676575273524,223.17956554327165,195.1867932758334,158.88863969530507,184.2200172346291,182.15015198692583
quad,15953.812282806206,24002.010001189698,23268.21524725437,22.232453870606054,2.218959122773506,10.671766621608494,97.51627110746782,87.79845368466272,218.00106268798103,234.64002378167677,97.04122507482688,238.55115682531408,94.19604253590934,226.66822428231958,191.80324688756133,146.39729861750985,191.76236424240963,193.1103685407364
quad,16701.43109617432,24614.71874671105,23533.179837258762,21.660650853470738,3.221440935499885,15.22764625181151,112.06308105020864,104.11455067287066,236.47157533792895,223.75370100906744,113.6453581713013,248.30509245799266,109.00774231941799,231.2153283465627,183.1756709623427,131.793842287723,209.49298672965236,197.4475881562204
quad,16554.41632946317,24614.387439303602,23429.658984863523,24.77050525263555,5.897378535211506,14.209451730263963,101.26667019116452,111.69636639657266,247.78440853028326,207.97675542853904,122.36802832785304,241.279977534218,100.66748243363611,234.00093211544032,192.8715884603346,113.19663212901973,203.73401932275902,214.28029856061093
quad,16630.738725542706,25032.453650462172,23314.465203624884,30.941688853172845,9.638942160613139,16.722382118009538,82.22884131953417,120.52323351600049,245.5626149187212,220.865299770115,138.6158108243105,240.1264313535306,119.07132327325351,214.62416187595366,195.2077641866422,111.11260394736897,208.17934354418406,227.61522275455778
quad,17668.0765478624,25747.009044861963,23839.411656859695,28.57493682539936,6.351116786493056,21.104088773351464,94.85938935896128,135.1060513656162,265.32473221562344,233.1180309847891,157.61772287689934,256.7108203179166,121.50407376817445,209.8809225993343,204.72389200567414,117.08721618715953,214.87421261874022,221.05696630952283
quad,17741.462578115363,25821.070986726012,23727.61565859558,29.223158400391444,2.8030274604573138,22.15970013649897,113.43297693420028,115.44209398786745,257.5784835831851,227.86585189828347,161.79881572857016,251.71184710884432,133.03987431823424,218.3741576150124,197.77495241794347,118.94816005750542,217.88014288281514,218.75147199660677
quad,18100.947658967016,26000.122710135565,23536.37395362916,21.732894914394617,1.484531861788856,23.628865954306573,121.72096933727576,134.96848311190277,241.75180760531745,211.02948928028997,167.46343737210523,261.111555781925,118.7596906554146,225.40146417484394,209.45783076216802,133.51646023741753,217.91355697443578,238.2072032073313
quad,18028.60545549425,26539.86454457916,23954.32857877801,27.463644145296588,-1.529123855397083,22.178797515656353,121.49559036494463,115.49675639823131,258.3399487363775,202.90003540705,171.39866454964545,277.28947258798456,126.3001864739624,235.99401901402015,215.68068215015597,148.61707746868134,200.1100481268336,251.25676443145818
quad,18308.216266528183,26145.810285797856,23644.44966190434,25.37202834861932,4.575011067752615,24.04586646511162,107.26820482360668,126.40322733692994,240.66351546887574,206.06448291419463,171.04461403792368,274.48786319969673,142.1139646381588,227.14182834039326,226.7745718401396,152.1577553198165,181.66366087521874,266.47891930352256
