vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,leg_3_LENGTH,leg_2_LENGTH,arm_1_LENGTH,arm_4_LENGTH,leg_4_LENGTH,arm_2_LENGTH,leg_1_LENGTH,arm_3_LENGTH
quad,15613.51731281397,23507.12019430472,23105.0248379907,21.768724139941337,2.245387691366292,8.223608457265941,80.2292824180472,89.26952713032287,204.41889210337732,237.93511308351714,94.73425110123098,232.08751157874065,76.9578182155678,229.9129998502996
quad,16055.801639111973,23947.27380018961,23401.2405194374,23.351492030825128,4.192015258112076,9.969742501455908,77.9858789721975,99.02836457534846,204.77683065647918,252.9260009873242,95.83753407726743,236.0854044602886,92.81550718491495,235.33762531773368
quad,16462.65035826846,24726.118905229985,23753.432333435838,18.959483676929,1.5744080366816267,10.551465331673334,95.94134399248075,104.4953493271878,201.60851174691734,272.6660399648059,89.26832223542576,252.87124107020466,83.56915462686524,231.56740077715176
quad,15884.57813906038,24130.17157200911,23361.503168758998,21.35972516287949,6.666664509636527,8.343645000516936,78.0775737394925,89.85032474243445,193.01802300145883,253.07452310260666,73.92694005433918,242.39154553831665,97.2794955745535,237.46577252458056
quad,16009.21191520082,24441.37589817293,23611.737119863457,29.968296754780063,6.070093227735188,9.676145681382472,66.47667733812416,87.2576645579627,210.24865751191436,272.36983915654776,85.2622178098074,232.12958061445332,115.99853066218013,232.16839686694297
quad,17234.671258129816,25093.85757038656,23807.258311645568,25.607936068521344,1.9165962695619676,12.93006871843439,78.54732520342526,104.60831461820966,209.49548544452912,285.90711480233233,103.10354005648036,243.43099633004752,119.58604978712798,224.18730772221247
quad,16593.266933732626,24938.498359807363,23676.688120388622,29.7282933466058,2.731029354479208,13.523513108278516,91.78978356420151,87.13460798966908,215.4642301320835,268.6442505188369,102.86547222599633,230.00672121310888,129.4230428482929,237.89101023930266
quad,16738.560084418845,25399.239879139248,23605.078868689674,32.70515628116193,2.9773330669423097,13.630981463514726,75.95075944971607,90.35263865035014,196.03249067873654,284.43649561199373,108.0312726013907,212.16953650046236,135.4316609056302,253.31651458921976
quad,16753.88284747001,25233.26225222963,23549.446860674736,30.373972537987864,5.3642137165003705,14.256371152612878,68.74376048857943,103.58461481057203,198.19272156653616,266.0882236690831,118.13822769639853,224.7908221120531,127.96116316534929,252.15833706964912
quad,17186.73928192171,25744.398893849375,23070.95294363345,30.22589934266059,2.8243704608470037,17.23389247817581,85.28494018444081,112.71493063173021,179.12535400005277,264.237028148423,128.21655980392694,224.1702969702422,143.8416730882383,233.03679490308255
