capsule,xmin,xmax,ymin,ymax,zmin,zmax,surface_area,cg_x,cg_y,cg_z,density,mass,volume,cg_inert_tensor_x,cg_inert_tensor_y,cg_inert_tensor_z
,-850.0000000000003,849.9999999999997,-199.9999999999999,200.0000000000001,-50.84568498248673,50.84568498248673,1063672.0037312873,-374.99997210399255,0.0,4.803777347025208,1.55e-06,2.4110111216297496,1555491.0462127416,11253.519056873902,147344.43139689378,153349.10471705938
,-900.0000000000013,899.9999999999989,-199.99999999999994,200.00000000000006,-50.96248454448623,50.96248454448623,1126575.7498599559,-399.99995321201334,0.0,4.810329079605192,1.55e-06,2.552974100174048,1647080.064628418,11940.356100938363,174623.18431569976,180994.61231801187
,-950.0000000000013,949.9999999999986,-200.00000000000023,199.99999999999977,-51.07951368904679,51.07951368904679,1189479.5351925897,-425.00000040222517,0.0,4.816193960862552,1.55e-06,2.694936100504923,1738668.45193866,12627.187417475256,205093.11197851962,211831.2890496847
,-999.999999999999,1000.000000000001,-200.0000000000001,199.9999999999999,-51.19692076075097,51.19692076075097,1252383.2886560075,-449.99999998979786,0.0,4.821475573805061,1.55e-06,2.8368990008288386,1830257.4198895732,13314.022504314667,238931.78273478756,246036.71208223316
,-1050.000000000002,1049.9999999999982,-200.00000000000003,199.99999999999997,-52.5681719645581,52.5681719645581,1315287.0333935488,-474.99999991278554,0.0,4.826254574514519,1.55e-06,2.978862371228229,1921846.6911149865,14000.852509891563,276316.7061867293,283788.3846329361
,-250.00000000000006,249.99999999999997,-200.0,200.0,-75.78941060841106,75.78941060841106,321700.51855001424,-50.000000922190125,0.0,6.219332886309381,1.55e-06,0.7402186670386315,477560.4303475042,4108.2030984184175,5322.068361673509,6141.031797995551
,-300.0000000000001,299.9999999999999,-200.00000000000014,199.99999999999986,-75.88408584569788,75.88408584569788,389012.5365931302,-75.00000032972724,0.0,6.432556848369559,1.55e-06,0.8917153712333995,575300.239505419,5131.636855086685,8480.25801922899,9510.201101342847
,-349.9999999999998,350.00000000000017,-200.00000000000003,199.99999999999997,-75.22072816131241,75.22072816131241,456324.621443742,-100.0000005194707,0.0,6.583816907375752,1.55e-06,1.043211021946105,673039.3689974871,6155.008860884731,12753.030645917355,13994.008492452758
,-400.0000000000003,399.9999999999997,-200.0,200.00000000000003,-76.08852780915555,76.08852780915555,523636.58220093074,-125.00000037552192,0.0,6.6967801137084075,1.55e-06,1.1947092488867073,770780.1605720692,7178.352419444775,18329.819059144596,19781.869648163083
,-450.0000000000001,449.99999999999994,-200.00000000000014,199.99999999999986,-76.19571649607344,76.19571649607344,590948.6312024716,-150.0000000332021,0.0,6.784193378764739,1.55e-06,1.346203169892159,868518.1741239736,8201.664572261461,25399.896653880038,27063.045313715793
