vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,mid_tube_r_LENGTH
tube,1760.0965960867848,1250.1757197310385,1760.0965960867848,-6.491353055458644e-15,84.97295668372917,10.160000000000002,149.62591336745828
tube,1572.2063722500252,1122.3102778412526,1572.2063722500252,-6.121789578522298e-15,77.08095697890298,10.160000000000004,133.84191395780593
tube,1738.7577185419634,1235.6539157170562,1738.7577185419634,-6.283540267904039e-15,84.07665451405705,10.16,147.83330902811417
tube,1725.7719582635843,1226.8166811746548,1725.7719582635843,-6.413602838943483e-15,83.53121040211143,10.16,146.74242080422286
tube,1859.357503719767,1317.7260135020401,1859.357503719767,-6.876524385205134e-15,89.14223722288514,10.160000000000002,157.96447444577032
tube,1763.2538439414618,1252.3243301475363,1763.2538439414618,-6.541710641284012e-15,85.10557134897546,10.160000000000002,149.89114269795093
tube,1570.9662959551658,1121.4663653684197,1570.9662959551658,-6.110192394231897e-15,77.02886974651189,10.160000000000002,133.7377394930238
tube,1665.1174103926467,1185.5392777644558,1665.1174103926467,-6.431624359235275e-15,80.98352237386315,10.16,141.6470447477263
tube,1709.7724996331622,1215.928526346793,1709.7724996331622,-6.374601253366657e-15,82.85918117030653,10.16,145.39836234061306
tube,1758.1199713277413,1248.8305619410032,1758.1199713277413,-6.377104470586171e-15,84.88993202339087,10.160000000000002,149.45986404678177
tube,1877.194874087331,1329.8649273722049,1877.194874087331,-7.021826544684959e-15,89.89146471754187,10.160000000000004,159.46292943508365
tube,1869.6976425797404,1324.7628161495318,1869.6976425797404,-6.936187884630326e-15,89.5765566417692,10.160000000000002,158.8331132835384
tube,1710.5943309100612,1216.4878094070489,1710.5943309100612,-6.4379556540418876e-15,82.8937007534028,10.160000000000002,145.46740150680557
tube,1674.300867401158,1191.7889205850918,1674.300867401158,-6.367856383775239e-15,81.36925739786001,10.16,142.41851479572006
tube,1595.4565924436135,1138.132813034307,1595.4565924436135,-6.146563042604074e-15,78.05754174823271,10.160000000000004,135.79508349646545
tube,1471.2864093157186,1053.6309426816592,1471.2864093157186,-6.151689560767074e-15,72.84199072815971,10.159999999999998,125.36398145631945
tube,1601.8845672633722,1142.5072601130385,1601.8845672633722,-6.1902110959214604e-15,78.32753756996448,10.16,136.33507513992896
tube,1421.9647523631024,1020.0659421606001,1421.9647523631024,-5.5547622427035935e-15,70.77032092989622,10.160000000000002,121.22064185979241
tube,1354.733485881222,974.3128666574048,1354.733485881222,-5.533233148696338e-15,67.94638935753792,10.160000000000002,115.57277871507583
tube,1242.6775793077784,898.055157672917,1242.6775793077784,-5.154315821924684e-15,63.23967730225837,10.16,106.15935460451676
tube,1450.3845756455148,1039.4065613169885,1450.3845756455148,-5.972431155507643e-15,71.96404582082441,10.160000000000002,123.60809164164881
tube,1261.3282951335068,910.7475797261765,1261.3282951335068,-5.1432909244713905e-15,64.02306794806083,10.160000000000002,107.72613589612165
tube,1333.9205219758605,960.1489640740149,1333.9205219758605,-5.651595370615207e-15,67.07217726899214,10.16,113.82435453798426
tube,1436.984886511872,1030.287634651876,1436.984886511872,-5.528021704485607e-15,71.40121535243695,10.159999999999998,122.48243070487389
tube,1282.129437713552,924.9034375110965,1282.129437713552,-5.425184980794549e-15,64.8967835025454,10.16,109.47356700509081
tube,1202.9565861344872,871.023722823935,1202.9565861344872,-5.041732153783277e-15,61.571266567534,10.160000000000002,102.822533135068
tube,1110.2123343710189,807.9082264861562,1110.2123343710189,-5.037123067248135e-15,57.67570674225256,10.16,95.03141348450512
tube,1155.042903772798,838.4168950569564,1155.042903772798,-5.00214268351358e-15,59.558736275462415,10.159999999999998,98.79747255092485
tube,1338.604496908718,963.3365621957288,1338.604496908718,-5.562801763755838e-15,67.26891943062603,10.16,114.21783886125205
tube,1463.7380609919685,1048.4940447939173,1463.7380609919685,-5.987875431453317e-15,72.52493558007112,10.160000000000002,124.72987116014224
tube,1287.95000539089,928.8645241653911,1287.95000539089,-5.517559117465216e-15,65.14126625131993,10.16,109.96253250263986
tube,1425.865021763213,1022.7202030377797,1425.865021763213,-5.5254890702243796e-15,70.93414491352804,10.160000000000002,121.5482898270561
tube,1419.6264712037569,1018.4746653629207,1419.6264712037569,-5.4946297198638e-15,70.67210552601554,10.159999999999998,121.02421105203109
tube,1370.2381938681071,984.8643274925229,1370.2381938681071,-5.5249958295624516e-15,68.59763745526878,10.160000000000002,116.87527491053757
tube,1551.6156325572185,1108.2976061018987,1551.6156325572185,-6.055762402220476e-15,76.21607902911154,10.160000000000002,132.11215805822312
tube,1434.9617476120363,1028.9108224678814,1434.9617476120363,-5.558334280270173e-15,71.31623694709852,10.160000000000002,122.31247389419703
tube,1292.6574629432487,932.0681029776271,1292.6574629432487,-5.529286746181956e-15,65.33899475924896,10.16,110.35798951849793
tube,1399.0243596660205,1004.4542547111986,1399.0243596660205,-5.509051004400146e-15,69.80674992179915,10.159999999999997,119.29349984359831
tube,1397.9888715415777,1003.7495711789757,1397.9888715415777,-5.441248335467532e-15,69.76325605710745,10.160000000000002,119.20651211421487
tube,1563.8315933159297,1116.6109668964332,1563.8315933159297,-6.027458515396079e-15,76.72918906077385,10.160000000000002,133.1383781215477
tube,1591.101427272539,1135.168980708543,1591.101427272539,-6.187885305617129e-15,77.8746106646312,10.160000000000002,135.42922132926245
tube,1826.9415635407088,1295.6659061125831,1826.9415635407088,-6.741711260319323e-15,87.7806624421395,10.160000000000002,155.24132488427904
tube,1641.0014375958503,1169.1275696122339,1641.0014375958503,-6.22341258652749e-15,79.9705731830672,10.160000000000002,139.6211463661344
tube,1827.9791184683215,1296.3719961719537,1827.9791184683215,-6.7379282022478794e-15,87.82424311927772,10.160000000000002,155.32848623855546
tube,2038.6503203430302,1439.7406386222683,2038.6503203430302,-7.312965982751126e-15,96.67311789870784,10.160000000000002,173.02623579741572
tube,2185.13224480596,1539.4263786136767,2185.13224480596,-7.665203829737973e-15,102.8258345276911,10.16,185.33166905538224
tube,2335.1423101525766,1641.5131338571284,2335.1423101525766,-8.024734076957863e-15,109.12674453387112,10.160000000000002,197.9334890677423
tube,2182.535359179202,1537.6591130187878,2182.535359179202,-7.658936050600531e-15,102.71675689618192,10.160000000000004,185.11351379236382
tube,2373.4547516072957,1667.5860031977934,2373.4547516072957,-8.222762960656304e-15,110.73599152116788,10.160000000000002,201.15198304233576
tube,2455.592167883392,1723.4832011113635,2455.592167883392,-8.33063165012789e-15,114.18602980293245,10.160000000000002,208.05205960586494
tube,2579.577588353341,1807.8593344329906,2579.577588353341,-8.601166337367217e-15,119.39382019122695,10.160000000000002,218.46764038245396
tube,2610.033990045392,1828.5859117993068,2610.033990045392,-8.76081463666782e-15,120.67308799055945,10.160000000000004,221.02617598111894
tube,2477.389161639083,1738.3167681886043,2477.389161639083,-8.282489575933493e-15,115.10157434151083,10.16,209.8831486830217
tube,2493.1432120614427,1749.0379147053018,2493.1432120614427,-8.624381294562226e-15,115.76329563144394,10.160000000000004,211.20659126288788
tube,2492.7189292847406,1748.7491764004478,2492.7189292847406,-8.518532232660923e-15,115.74547437667015,10.160000000000002,211.17094875334033
tube,2548.9187149884597,1786.9949684718893,2548.9187149884597,-8.535008350381867e-15,118.10604792396865,10.160000000000002,215.8920958479373
tube,2653.082570709721,1857.8818787579428,2653.082570709721,-8.721796531572196e-15,122.48126820855332,10.160000000000002,224.6425364171067
tube,2681.9745570788955,1877.5438203360088,2681.9745570788955,-8.931914266555684e-15,123.69482548280236,10.160000000000005,227.06965096560464
tube,2568.348763265142,1800.217751744511,2568.348763265142,-8.609463250561935e-15,118.92217306413328,10.160000000000004,217.52434612826653
tube,2587.0551913201803,1812.9480877917715,2587.0551913201803,-8.645846739474495e-15,119.7079038045308,10.160000000000004,219.09580760906158
tube,2438.4632056278374,1711.8263821284727,2438.4632056278374,-8.189869594965647e-15,113.46655775002644,10.160000000000004,206.61311550005283
tube,2357.4024586213177,1656.6618928631353,2357.4024586213177,-8.168071566053542e-15,110.06174307481344,10.16,199.8034861496269
tube,2453.9253564670576,1722.3488814328598,2453.9253564670576,-8.276794822480493e-15,114.11601830932149,10.160000000000004,207.912036618643
tube,2220.9265033035826,1563.7855420999692,2220.9265033035826,-7.721242956125124e-15,104.32930965124591,10.160000000000004,188.3386193024918
tube,2436.4580527416383,1710.4618100149537,2436.4580527416383,-8.358699432222467e-15,113.38233481568274,10.160000000000002,206.44466963136549
tube,2223.4744368026536,1565.519494171086,2223.4744368026536,-7.75617851090297e-15,104.43633113438621,10.160000000000002,188.55266226877248
tube,2239.271531718691,1576.2699338734146,2239.271531718691,-7.884366494632967e-15,105.09986043287064,10.160000000000002,189.8797208657413
tube,2302.3224728524424,1619.178161268142,2302.3224728524424,-7.760113201236615e-15,107.74820476210456,10.160000000000004,195.1764095242091
tube,2109.805111807272,1488.1638011868904,2109.805111807272,-7.436299816517447e-15,99.66185026469113,10.160000000000004,179.0037005293822
tube,1975.846070495667,1397.0002927154655,1975.846070495667,-7.105494566839433e-15,94.03513540480309,10.160000000000002,167.75027080960615
tube,2109.4129272708888,1487.896906784282,2109.4129272708888,-7.375802065816383e-15,99.645377240272,10.160000000000002,178.97075448054403
tube,2277.499068098722,1602.2850225341062,2277.499068098722,-7.787244432412878e-15,106.70554113124238,10.160000000000004,193.0910822624848
tube,2407.221486895235,1690.5653708338612,2407.221486895235,-8.24790359847758e-15,112.15430408412962,10.160000000000002,203.98860816825925
tube,2209.3936754932943,1555.9370756173134,2209.3936754932943,-7.721313452863833e-15,103.84489342236488,10.159999999999998,187.36978684472973
tube,2294.964816104157,1614.1710352336859,2294.964816104157,-7.742414581228523e-15,107.4391592795885,10.160000000000002,194.55831855917702
tube,2372.1604782984755,1666.7052078845566,2372.1604782984755,-8.114499681754034e-15,110.68162783814807,10.16,201.04325567629624
