GUID,AnalysisError,Interferences,Ctrl_R,Flight_Path,Q_Angles,Q_Angular_velocity,Q_Velocity,Q_position,Requested_Lateral_Speed,Requested_Vertical_Speed,Average_speed_to_traverse_path,Battery_amps_to_max_amps_ratio_at_Max_Flight_Distance,Battery_amps_to_max_amps_ratio_at_Max_Speed,Distance_at_Max_Speed_(m),Flight_distance,Input_LQR_weights_Qp_Qv_Qav_Qang_R,Location_of_maximum_distance_error,Max_Flight_Distance_(m),Max_Hover_Time_(s),Max_Lateral_Speed_(m/s),Max_uc_at_Max_Flight_Distance,Max_wing_segement_load_ratio,Maximimum_error_distance_during_flight,Maximum_ground_impact_speed,Min_max_nontrim_signed_acceleration_error,Min_max_nontrim_signed_acceleration_error_Speed,Motor_amps_to_max_amps_ratio_at_Max_Flight_Distance,Motor_amps_to_max_amps_ratio_at_Max_Speed,Motor_power_to_max_power_ratio_at_Max_Flight_Distance,Motor_power_to_max_power_ratio_at_Max_Speed,Path_traverse_score_based_on_requirements,Power_at_Max_Flight_Distance_(W),Power_at_Max_Speed_(W),Spatial_average_distance_error,Speed_at_Max_Flight_Distance_(m/s),Time_of_maximum_distance_error,Time_to_traverse_path,Velocity_at_time_of_maximum_distance_error,
result_1,0,51,"0.1","1","1","1","1","1","19","-1","19.0000000","120.114845","120.114845","76726.5703","1.89999994E-02","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","1.89999994E-02;0.00000000;-200.000000","76726.5703","0.00000000","32.0000000","0.963055432","0.770819485","1.20496849E-10","0.00000000","-2.23438791E-03","34.0000000","0.466851950","0.466851950","0.984590769","0.984590769","0.00000000","129510.953","129510.953","1.20496849E-10","32.0000000","1.00000005E-03","1.00000005E-03","19.0000000;0.00000000;0.00000000",
result_2,0,51,"0.1","3","1","1","1","1","19","-1","19.0000000","120.114845","120.114845","76726.5703","1.89999994E-02","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","500.000000;1.89999994E-02;-250.000000","76726.5703","0.00000000","32.0000000","0.963055432","0.770819485","4.93665886E-10","0.00000000","-2.23438791E-03","34.0000000","0.466851950","0.466851950","0.984590769","0.984590769","0.00000000","129510.953","129510.953","4.93665886E-10","32.0000000","1.00000005E-03","1.00000005E-03","-7.22000026E-04;19.0000000;0.00000000",
result_3,0,51,"0.1","4","1","1","1"," 1","1","-2","16.9999981","120.114845","120.114845","76726.5703","1.69999991E-02","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","0.00000000;0.00000000;-2.00000009E-03","76726.5703","0.00000000","32.0000000","0.963055432","0.770819485","1.69999991E-02","0.00000000","-2.23438791E-03","34.0000000","0.466851950","0.466851950","0.984590769","0.984590769","0.00000000","129510.953","129510.953","1.69999991E-02","32.0000000","1.00000005E-03","1.00000005E-03","0.00000000;0.00000000;-2.00000000",
result_4,0,51,"0.1","5","1","1","1","1","19","-1","19.0000000","120.114845","120.114845","76726.5703","1.89999994E-02","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","1.89999994E-02;0.00000000;-500.000000","76726.5703","0.00000000","32.0000000","0.963055432","0.770819485","1.20517679E-10","0.00000000","-2.23438791E-03","34.0000000","0.466851950","0.466851950","0.984590769","0.984590769","0.00000000","129510.953","129510.953","1.20517679E-10","32.0000000","1.00000005E-03","1.00000005E-03","19.0000000;0.00000000;0.00000000",
