vehicle,drag_x,drag_y,drag_z,drag_cx,drag_cy,drag_cz,fork_l_1_LENGTH,fork_r_2_LENGTH,post_l_2_LENGTH,post_r_2_LENGTH,cylinder_3_LENGTH,post_r_4_LENGTH,tbar_post_1_LENGTH,tbar_post_2_LENGTH,cylinder_2_LENGTH,fork_l_3_LENGTH,post_l_3_LENGTH,fork_r_4_LENGTH,post_r_1_LENGTH,tbar_cross_3_LENGTH,fork_l_4_LENGTH,cylinder_1_LENGTH,tbar_post_3_LENGTH,post_r_3_LENGTH,tbar_cross_2_LENGTH,cylinder_0_LENGTH,fork_r_1_LENGTH,post_l_1_LENGTH,fork_l_2_LENGTH,fork_r_3_LENGTH,post_l_4_LENGTH,tbar_cross_1_LENGTH,t_cross_mp_bottom_prop_DIAMETER,fork_post_mp_6_prop_DIAMETER,fork_post_mp_8_prop_DIAMETER,tail_tbar_post_mp_prop_DIAMETER,fork_post_mp_2_prop_DIAMETER,t_post_mp_bottom_prop_DIAMETER,fork_post_mp_4_prop_DIAMETER,t_cross_mp_top_prop_DIAMETER,fork_post_mp_3_prop_DIAMETER,fork_post_mp_7_prop_DIAMETER,t_post_mp_top_prop_DIAMETER,fork_post_mp_1_prop_DIAMETER,fork_post_mp_5_prop_DIAMETER,tail_tbar_cross_mp_prop_DIAMETER,left_wing_CHORD_1,left_wing_CHORD_2,left_wing_SPAN,right_wing_CHORD_1,right_wing_CHORD_2,right_wing_SPAN
tbar_full,1984865.4308443079,4062957.563237311,4755000.323134607,-772.9439159199864,-0.34971261314379914,-22.557190716003703,1486.8489635190992,1498.1026340633368,483.4033798851532,515.4691172667135,2006.265326082398,508.1072369140069,1986.3254870223786,1996.2188784078833,2016.6173453735746,1500.6769321219022,516.2488282299986,1518.8491701138753,516.3552862756528,1015.5360056239554,1500.9391967210486,2007.3042029525939,1998.498285449133,514.0570563296585,1012.6569891023189,1987.2722508550871,1485.611931564639,493.2616211399173,1518.9508876379189,1502.4607398943213,509.7884076855031,1013.8920415998771,1565.152217322278,1579.167263015338,1583.1738851806804,1560.50540748588,1592.8678631824073,1580.4409222697611,1592.091469759745,1569.4211467550151,1577.1425069062202,1573.973216044176,1592.364766207157,1568.2437305840576,1590.8099864215224,1567.2805114979178,1416.8989579708439,1394.3646724025614,7989.110284629639,1405.3976118892042,1413.0078794408264,8010.770045820452
tbar_full,1986043.6822363203,4092433.6899828874,4761552.382124579,-776.7309921096588,28.711322227056275,-23.79050405744759,1475.3197647533107,1499.5294439107245,471.90392627511983,495.60790493374463,1990.163258239472,510.6070527799133,2004.7030239304088,1978.470741011806,2023.2915536258233,1492.126965128526,519.1642640101647,1529.4474277156107,531.8166942910497,1018.6902687162293,1519.506963952708,2021.625982820384,2010.5844721040291,497.52423843639593,1028.166156111144,1993.2065255250996,1489.1456965572704,506.6540977426988,1516.7909245308185,1506.5827576636268,519.1863171798435,1017.1832034960246,1545.9006170190899,1574.8200111315043,1585.3050109269025,1542.3935150303487,1586.3458488982783,1585.1709073819093,1594.922028563745,1576.9075900196128,1557.9828070967396,1574.7546112963926,1598.304847544169,1566.0234061393733,1596.2263042787688,1566.8956975472033,1406.3994126017055,1384.77075975061,7974.3166933543835,1423.3452832377009,1415.740126662094,8030.561001935764
tbar_full,1982837.0596427259,4071806.201163158,4752684.681906268,-776.0438440182836,46.47119046814705,-23.42071244289543,1483.1359184099879,1487.3041716757614,464.5983124034714,482.6366452905656,1980.667246965997,492.1762567852794,1987.2194520786384,1975.4733629131474,2015.6720857285236,1487.0343904872445,524.6590570957608,1509.6003215898268,530.2549783409942,1034.9518075740768,1533.7445060754833,2019.7525856142993,1996.7528591959758,490.3489492637551,1023.0778299638961,1994.4814844568307,1481.2488820464494,497.6755831800097,1508.0221233997115,1504.151976879853,506.7281660461375,1010.9961814407859,1543.6516660553834,1583.9314537522475,1603.9099506080308,1524.2307338152266,1574.858338679353,1578.7225506851923,1578.4348257508348,1585.3099675510146,1541.25081564138,1561.2745943542989,1588.9089217419578,1567.6935789925244,1595.1856361573584,1572.402500577542,1393.0272648839484,1376.8225840742596,7991.320107047085,1407.4778002168475,1426.3726190317573,8022.009275626143
tbar_full,1982048.0030532153,4069876.2575958716,4760307.227848635,-774.1545023373735,77.87551722204425,-23.453448939050578,1493.502800961742,1493.652017473301,483.7329439364131,495.39404468571547,1996.0278675055747,488.45105647813335,1975.4209921214015,1960.2860969339165,2014.0218657862792,1486.0721864655402,514.6283879104692,1525.916556844898,522.0046682995218,1021.1977329287428,1525.2667312286162,2039.0428995721597,1977.4354289538767,488.21555695444437,1039.738501868375,2001.0315419679334,1486.7135309834212,492.27249560836174,1506.719134356949,1497.3385046357926,522.9927030692648,1017.9178250739475,1524.0848371346738,1597.5212538519875,1587.80463911347,1535.3723235904883,1591.7827904734936,1593.8556788477,1595.0452000203957,1587.6740750392494,1534.3650189823,1578.4314233405294,1584.5230229636022,1568.5479741217252,1607.7388745792912,1590.6855935979984,1374.8884082352156,1378.3978378640147,7990.721434413232,1404.1864005720913,1428.4429747895315,8040.628745822378
tbar_full,1976592.158141624,4079223.6617554086,4765880.660216697,-774.0078692706892,50.617115884343995,-21.994047495792238,1475.2446005477486,1498.339985724455,464.0533186621598,479.18045791171556,2012.817164411272,477.63117969033283,1964.1727131400444,1975.0334540617484,2026.1451391698895,1497.21539016818,525.9052364157166,1521.1744609314742,502.0292704213365,1034.3261877606549,1511.4761913805187,2022.1740013512022,1992.3749239750366,489.7098521708701,1039.5349469285793,2003.5808392726258,1502.4134017579693,493.66187340028773,1503.822330215124,1511.373149521443,526.9242151428764,1031.5995143562293,1522.3661976844014,1601.9743498624712,1594.35734582534,1549.7744780657956,1607.7561451949034,1611.7823628099839,1613.6661355685471,1575.0901671631996,1516.8396372954846,1569.7325025342004,1575.783551316813,1559.7009473485616,1596.9434162044565,1608.0568525705082,1393.359024768766,1376.4394908321797,8000.333618437788,1412.4349065193067,1423.50943572352,8041.830407515764
tbar_full,1983269.3623861298,4081496.1883032853,4762346.075331175,-778.1112076516787,52.05546490206773,-21.642356087351267,1466.2595441171081,1506.8639346745313,447.2481328556087,484.96108733784763,2006.2204737418035,496.025759147807,1953.6185755171605,1980.3442039745005,2025.3478082863028,1479.75906454068,538.1116436645523,1535.80930209016,510.4573649434194,1016.3666561518457,1523.8424736520483,2004.8582210891163,1984.7417782761302,506.8878892882032,1053.9933968650394,1999.3196821687654,1484.2477870925816,478.9167284349462,1497.8484231347925,1504.9474835029323,539.881782660749,1047.5343786491885,1532.217436183743,1608.1797827240312,1586.621217427538,1544.3142262327099,1613.230523400593,1597.2992262460496,1633.1811872520766,1559.9996557512936,1501.1192712498291,1559.1520550259,1570.1489740612524,1543.1501213762197,1582.574133519065,1627.056101559501,1397.9909411916587,1360.7833823079811,8020.32473773902,1406.9736088950876,1435.7230719777428,8025.564672557976
tbar_full,1979314.1104507707,4080996.316408468,4762388.187220109,-777.0632300462172,64.10410310020643,-22.83615000253518,1468.2065377247006,1503.5110808429679,431.8340967253302,498.95337987841924,1996.2300873911456,492.47400935983455,1958.2156901122287,1964.6693986012285,2043.6060153829403,1462.5057256223286,546.7560264395358,1520.2523665943258,529.4692964207991,1016.0346005260744,1520.389792401326,2011.922830197658,1967.9725906171484,496.06744460736303,1062.2587296958673,1991.0927510390668,1483.378097813246,468.9409070268398,1517.2132018220743,1524.8611978334736,528.6839093419007,1057.9212967844994,1528.3954435228343,1608.0674415389515,1602.771582863571,1546.211408577578,1611.4229312030386,1583.2262214596142,1616.1478477020335,1569.7460655600646,1518.7415433936005,1554.6905015234145,1556.0633397524755,1528.6149362274116,1590.6518876926095,1631.2574780217408,1379.1279261982702,1370.244662855488,8030.408872581303,1388.0177346441326,1417.4508299352326,8039.26034313692
tbar_full,1981355.4572137443,4076676.416242469,4762288.553736497,-777.8388661613983,42.376533871250395,-21.88287844455672,1470.726445304218,1522.0361389311006,440.7523342630583,491.41872311739087,2013.8942590137967,507.7875974831946,1956.9550848051329,1980.6662998570819,2048.752703874674,1479.179845000165,537.6643198182808,1501.1921967159137,518.335374530611,1022.796721424154,1518.1301920207634,2024.8706299216617,1971.9890156715426,480.4722312675478,1069.7518485080166,1974.3119819937474,1471.9522288031224,472.0891868347381,1497.8557919915631,1509.831451089394,518.5264601750341,1049.0608923977265,1542.7474835933028,1614.3215260445286,1605.3388716039058,1540.4134967555128,1616.567889975318,1576.58962764649,1612.2445507084656,1585.0274113812845,1532.2603422538743,1552.151340722833,1561.721365882481,1542.958170427904,1599.6592848473847,1622.0715354492854,1385.8241033332752,1388.3778849078458,8023.192648906927,1386.7881520967135,1406.6174924566078,8040.381785842641
tbar_full,1978276.482758377,4069399.1188565246,4761685.117480293,-771.2562760173907,76.57367890475321,-23.010806950509906,1483.9083984592676,1506.9980103958676,442.6097681881498,474.04223653463094,2000.323861173184,499.44305688835345,1973.3997935239825,1996.8105430936157,2044.4585354991377,1497.5107588884705,544.0592154520947,1492.1518924303275,515.4258529966148,1010.5490130642969,1524.435712985143,2034.9117231540786,1968.8807247661637,492.4231120289584,1058.8065450942315,1972.7331361112756,1480.3970722744666,471.52377699824365,1483.9748708360034,1518.3009565965324,511.343375914037,1048.5177147998909,1537.8459630001298,1625.0869044574574,1587.9507112250155,1543.352110466709,1610.6022407396663,1585.8965432307052,1632.192610254516,1586.022454479145,1534.06702236874,1554.5601508816935,1571.4004176678757,1545.8538871619544,1585.7587335041335,1630.7039330797484,1376.5767530314845,1373.4327256897416,8018.429880462354,1375.8562423061305,1424.3348273632848,8036.899412560921
tbar_full,1985477.3221954494,4083110.331646372,4762386.678026003,-771.6195197443819,79.67230915673036,-21.743948186631496,1484.8908779659098,1522.0572085567096,443.79452128066345,489.7794592858505,1985.904968395048,499.9877789126336,1975.436854648797,2003.0180232750472,2038.9762093988916,1486.4516253120985,562.8734037058653,1510.3667277386212,526.3181932889264,991.6763801558457,1507.489640636066,2035.6743530578965,1981.851812304281,500.4654648459933,1065.5421897031288,1989.966123378408,1464.7232301636116,459.27254307011964,1467.746252736431,1532.995603910793,507.7466528372109,1064.5997298451118,1522.7839700278653,1605.8939355706252,1579.856085578692,1525.5867111362286,1609.9855947967778,1591.1602555257866,1630.6444527707822,1577.1715463528608,1516.271418205962,1542.6318886276156,1575.0450970658437,1553.3396112590883,1565.9994377160142,1626.8005055029025,1382.3313120852708,1383.9079359050643,8028.25722820258,1388.0419967264315,1427.3177495527038,8053.967726694831
