GUID,AnalysisError,Interferences,Arm_length,Ctrl_R,Flight_Path,Leg_Length,Q_Angles,Q_Angular_velocity,Q_Velocity,Q_position,Requested_Lateral_Speed,Requested_Vertical_Speed,Average_speed_to_traverse_path,Battery_amps_to_max_amps_ratio_at_Max_Flight_Distance,Battery_amps_to_max_amps_ratio_at_Max_Speed,Distance_at_Max_Speed_(m),Flight_distance,Input_LQR_weights_Qp_Qv_Qav_Qang_R,Location_of_maximum_distance_error,Max_Flight_Distance_(m),Max_Hover_Time_(s),Max_Lateral_Speed_(m/s),Max_uc_at_Max_Flight_Distance,Max_wing_segement_load_ratio,Maximimum_error_distance_during_flight,Maximum_ground_impact_speed,Min_max_nontrim_signed_acceleration_error,Min_max_nontrim_signed_acceleration_error_Speed,Motor_amps_to_max_amps_ratio_at_Max_Flight_Distance,Motor_amps_to_max_amps_ratio_at_Max_Speed,Motor_power_to_max_power_ratio_at_Max_Flight_Distance,Motor_power_to_max_power_ratio_at_Max_Speed,Path_traverse_score_based_on_requirements,Power_at_Max_Flight_Distance_(W),Power_at_Max_Speed_(W),Spatial_average_distance_error,Speed_at_Max_Flight_Distance_(m/s),Time_of_maximum_distance_error,Time_to_traverse_path,Velocity_at_time_of_maximum_distance_error,
result_1,0,0,"250","0.1","1","40","1","1","1","1","30","-1","29.9489441","0.124686360","0.162980363","10366.8926","590.203857","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","591.210022;0.00000000;-200.000000","10779.0459","482.092163","44.0000000","0.789954484","0.00000000","2.33778977","0.00000000","-0.286693096","45.0000000","0.597858489","0.862382710","0.598757505","0.863679528","0.00000000","949.722961","1502.70166","7.51612633E-02","35.0000000","19.7070007","19.7070007","30.0000000;0.00000000;0.00000000",
result_2,0,0,"250","0.1","3","40","1","1","1","1","25","-1","25.0000000","0.124686360","0.162980363","10366.8926","3141.60010","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","487.602600;110.651306;-250.000000","10779.0459","482.092163","44.0000000","0.789954484","0.00000000","8.20875084E-06","0.00000000","-0.286693096","45.0000000","0.597858489","0.862382710","0.598757505","0.863679528","300.000000","949.722961","1502.70166","7.55362043E-06","35.0000000","4.46299982","125.664001","-5.53256512;24.3801289;0.00000000",
result_3,0,0,"250","0.1","4","40","1","1","1"," 1","0","-1","0.312915921","0.124686360","0.162980363","10366.8926","150.000000","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","0.00000000;0.00000000;-150.000000","10779.0459","482.092163","44.0000000","0.789954484","0.00000000","3.50100345E-05","0.00000000","-0.286693096","45.0000000","0.597858489","0.862382710","0.598757505","0.863679528","400.000000","949.722961","1502.70166","3.44961591E-05","35.0000000","150.093002","479.362000","0.00000000;0.00000000;-1.00000000",
result_4,0,0,"250","0.1","5","40","1","1","1","1","25","-1","25.0428276","0.124686360","0.162980363","10366.8926","3390.77368","1.00000000;1.00000000;1.00000000;1.00000000;0.100000001","-49.9139709;-595.818542;-500.000000","10779.0459","482.092163","44.0000000","0.789954484","0.00000000","0.994874597","0.00000000","-0.286693096","45.0000000","0.597858489","0.862382710","0.598757505","0.863679528","415.000000","949.722961","1502.70166","0.513693988","35.0000000","99.7050018","135.399002","-24.6515427;4.15949774;0.00000000",
